id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,understat_id
0,1250,Mohamed Salah,25,2226,23,19.323595732450485,14,10.570089552551508,94,54,1,0,F M,Liverpool,16,13.995413828641176,32.2339441254735,9.967933133244514,player
1,8260,Erling Haaland,25,2218,19,20.268433712422848,3,3.2735622748732567,95,24,2,0,F,Manchester City,18,18.74609602242708,19.846616342663765,2.7264647968113422,player
2,4456,Chris Wood,25,2058,18,12.013978250324726,2,1.714306516572833,46,12,1,0,F S,Nottingham Forest,15,9.73047161847353,10.710980106145144,1.3081571776419878,player
3,5232,Alexander Isak,23,1917,17,14.128756515681744,5,4.89659633859992,65,36,1,0,F,Newcastle United,16,13.36758767813444,19.837213456630707,3.0546088963747025,player
4,6552,Bryan Mbeumo,25,2249,14,9.18723563849926,3,7.101525412872434,53,48,2,0,D F M,Brentford,10,6.142560191452503,18.14020755141973,6.701304767280817,player
5,8497,Cole Palmer,25,2220,14,11.288937751203775,6,9.249377965927124,87,64,4,0,M,Chelsea,11,9.005431156605482,20.901118824258447,7.05552725866437,player
6,7080,Matheus Cunha,24,1978,12,5.8570297211408615,4,5.864605551585555,77,38,3,0,F M S,Wolverhampton Wanderers,12,5.8570297211408615,13.788972608745098,4.939273511059582,player
7,5735,Jean-Philippe Mateta,25,1973,11,12.34391250088811,1,2.914311056956649,50,23,2,0,F S,Crystal Palace,9,10.82157476618886,13.657188346609471,2.4854100877419114,player
8,6963,Justin Kluivert,24,1648,11,9.194826928898692,5,4.020087171345949,50,31,6,0,M S,Bournemouth,5,4.627813797444105,11.978262532502413,4.58373842947185,player
9,8865,Ollie Watkins,25,1786,11,14.593748211860657,5,2.9329457879066467,63,20,0,0,F S,Aston Villa,9,13.071410417556764,13.902079820632936,2.2045168355107307,player
10,5786,Yoane Wissa,22,1773,10,12.734576903283596,2,2.136380396783352,53,16,2,0,F M S,Brentford,10,12.734576903283596,17.964031126350164,3.6267315819859514,player
11,8868,Liam Delap,24,1909,10,9.623359687626362,2,2.6852929890155792,43,18,7,0,F S,Ipswich,8,8.101022012531757,11.645847357809544,2.0095358584076166,player
12,4105,Raúl Jiménez,25,1632,9,11.038764450699093,3,3.4909527394920588,69,15,3,0,F S,Fulham,6,8.755257863551378,13.15954164788127,3.991832559928298,player
13,5220,Kai Havertz,21,1848,9,11.7567791454494,3,2.870583821088076,52,16,4,0,F M,Arsenal,9,11.7567791454494,15.865237101912498,4.696250442415476,player
14,6818,James Maddison,23,1391,9,5.761403132230043,4,3.709748037159443,36,27,4,0,M S,Tottenham,9,5.761403132230043,12.798218332231045,6.230327596887946,player
15,10048,Nicolas Jackson,23,1799,9,12.69150261580944,5,3.297819571569562,63,25,5,0,F S,Chelsea,9,12.69150261580944,15.456820771098135,2.84748069383204,player
16,10408,Luis Díaz,24,1610,9,7.680379465222359,2,2.8457457004114985,48,28,2,0,F M S,Liverpool,9,7.680379465222359,17.539148785173893,8.24139492213726,player
17,11296,Cody Gakpo,24,1398,8,6.8269756231457,3,4.213390661403537,42,30,4,0,F M S,Liverpool,8,6.8269756231457,15.404839953407643,5.603423799388111,player
18,500,Alex Iwobi,25,2135,7,4.006099181249738,3,5.968992387875915,49,45,1,0,D F M,Fulham,7,4.006099181249738,16.498625826090574,8.40463213250041,player
19,755,Jamie Vardy,23,1912,7,9.271865690127015,3,2.83368943631649,40,14,4,0,F,Leicester,6,8.51069682277739,11.11122027784586,0.6154491845518351,player
20,1679,Dominic Solanke,18,1608,7,9.582024980336428,3,2.2408436201512814,46,12,0,0,F,Tottenham,7,9.582024980336428,12.683358892798424,2.5901747569441795,player
21,6055,Phil Foden,20,1434,7,5.423117484897375,2,5.099840469658375,46,39,2,0,F M S,Manchester City,7,5.423117484897375,12.487386777997015,5.111962631344795,player
22,9156,Kevin Schade,25,1245,7,5.735351257026196,2,2.261437725275755,34,10,2,0,F M S,Brentford,7,5.735351257026196,10.129125893115996,2.625464927405119,player
23,9662,Dango Ouattara,22,1323,7,8.505869936197996,4,4.533564878627658,41,21,1,0,F M S,Bournemouth,7,8.505869936197996,13.920073084533216,2.895640717819333,player
24,10760,Brennan Johnson,22,1523,7,8.679799903184175,2,2.032659169286489,45,14,3,0,F M S,Tottenham,7,8.679799903184175,12.880830995738506,3.323127377778292,player
25,11070,Jørgen Strand Larsen,23,1867,7,6.765518218278885,2,2.000893833115697,35,12,2,0,F S,Wolverhampton Wanderers,7,6.765518218278885,10.346828168258073,2.5339677687734365,player
26,11357,Noni Madueke,23,1514,7,9.355294227600098,3,2.4354430362582207,64,25,3,0,M S,Chelsea,7,9.355294227600098,13.738464832305908,4.522956864908338,player
27,11363,Antoine Semenyo,24,2119,7,11.22594902664423,4,5.261923439800739,93,29,6,0,F M,Bournemouth,7,11.22594902664423,21.210557997226715,6.748211110010743,player
28,11366,Jhon Durán,20,563,7,5.099582154303789,0,0.2346634343266487,31,4,3,1,F S,Aston Villa,7,5.099582154303789,5.687583016231656,1.4234060682356358,player
