assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha,xg_pred,xa_pred,cs_pred,yc_pred,sv_pred,xPts
0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.46,198.0,5.0,0.0,3.9,39.0,2025-01-04,90.0,False,4.0,0.0,0.0,0.0,0.0,20.0,5.0,153129.0,1.0,5.0,0.0,0.0,1.0,878.0,9197.0,8319.0,44.0,True,0.0,0.0,0.0,0.0,90.0,Southampton,Brentford,0.0,5.0,26799.0,2024.0,697187.0,0.0,0.0,0.0,0.0,0.0,0.0166539624333381,0.0166539624333381,Southampton,2.0,2.0,20.0,2.7,GK,1.0,0.01,0.01,0.0,4.88,3.0,0.0,9.8,97.6,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,4.1,440897.0,1.0,0.01,0.01,0.0,4.88,3.0,0.0,9.8,97.6,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,4.1,440897.0,1.0,0.351,0.263,0.386,0.0,0.0,0,0,3.378631040634992,3.126210346878331
0.0,0.0,0.0,0.0,1.9,388.0,0.02,0.04,0.02,1.91,197.0,4.0,0.0,1.5,10.2,2025-01-04,90.0,False,13.0,0.0,0.0,0.0,0.0,20.0,0.0,618009.0,1.0,1.0,4.0,3.0,0.0,-64354.0,15935.0,80289.0,46.0,False,0.0,0.0,1.0,0.0369950830936431,90.0,Manchester City,West Ham,4.0,1.0,26798.0,2024.0,697295.0,0.0,0.0,0.0,0.0,0.0369950830936431,0.7829741835594177,0.7829741835594177,West Ham,2.0,4.0,20.0,2.5,DEF,1.0,0.24,0.52,0.28,5.49,6.0,0.0,12.8,56.2,57.3,14.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,11.0,0.0,3.0,0.41,0.59,0.0,5.0,0.0,0.41,1.0,0.45,12.1,2110681.0,1.0,0.45,0.73,0.28,8.94,8.0,0.0,21.2,89.2,105.5,16.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,18.0,0.0,3.0,0.41,0.72,0.0,8.0,0.0,0.41,1.38,0.74,23.9,3414251.0,0.0,0.717,0.164,0.119,0.06048289885302842,0.10330596730207822,0,0,0.0,2.672815295024405
0.0,0.0,9.0,0.0,13.8,217.0,0.03,0.09,0.06,1.84,192.0,1.0,0.0,2.8,10.4,2025-01-04,90.0,False,3.0,0.0,0.0,0.0,0.0,20.0,0.0,20264.0,1.0,0.0,1.0,4.0,1.0,-939.0,1318.0,2257.0,51.0,False,1.0,0.0,1.0,0.0168754756450653,90.0,Bournemouth,Everton,1.0,0.0,26792.0,2024.0,697154.0,0.045557864010334,0.0,1.0,0.0,0.0168754756450653,0.1142659410834312,0.0518326014280319,Everton,2.0,3.0,20.0,2.2,MID,1.0,0.08,0.17,0.09,4.43,3.0,0.0,8.0,19.2,42.5,18.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,0.0,2.0,0.09,0.21,0.0,3.0,0.0,0.09,0.46,0.33,7.0,59468.0,2.0,0.08,0.26,0.18,5.65,3.0,0.0,10.2,33.4,43.7,25.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,10.0,0.0,3.0,0.21,0.21,0.0,3.0,0.0,0.21,0.58,0.33,9.3,79060.0,1.0,0.543,0.25,0.207,0.09572945925904025,0.06757418988411965,0,0,0.0,2.6813698659475604
0.0,0.0,4.0,0.0,12.0,453.0,0.0,0.0,0.0,2.94,198.0,4.0,0.0,1.7,3.2,2025-01-04,35.0,False,4.0,0.0,0.0,0.0,0.0,20.0,0.0,124477.0,0.0,5.0,0.0,2.0,1.0,5260.0,20322.0,15062.0,51.0,True,0.0,0.0,0.0,0.0,32.0,Southampton,Brentford,0.0,5.0,26799.0,2024.0,697199.0,0.0578907169401645,0.0,1.0,0.0,0.0,0.0578907169401645,0.0,Southampton,2.0,2.0,20.0,1.9,FWD,1.0,0.09,0.39,0.3,4.52,3.0,0.0,9.4,24.8,31.5,37.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,9.0,0.0,4.0,0.33,1.26,1.0,2.0,0.0,0.33,2.27,0.69,6.3,349121.0,1.0,0.12,0.96,0.84,8.8,9.0,0.0,14.7,38.4,44.3,63.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,13.0,0.0,6.0,1.18,1.36,1.0,3.0,0.0,1.18,3.23,0.69,12.0,552787.0,1.0,0.351,0.263,0.386,0.26546274688318744,0.03613563759363674,0,0,0.0,3.17025790031366
0.0,0.0,2.0,0.0,0.0,463.0,0.0,0.0,0.0,0.96,198.0,2.0,0.0,0.0,0.0,2025-01-04,3.0,False,4.0,0.0,0.0,0.0,0.0,20.0,0.0,2836.0,0.0,5.0,0.0,0.0,1.0,-62.0,72.0,134.0,50.0,True,0.0,0.0,0.0,0.0,1.0,Southampton,Brentford,0.0,5.0,26799.0,2024.0,697200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,2.0,2.0,20.0,0.1,MID,0.0,0.04,0.04,0.0,0.11,0.0,0.0,2.2,7.0,14.8,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.02,0.0,-0.5,5643.0,0.0,0.04,0.04,0.0,0.11,0.0,0.0,2.2,7.0,14.8,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.02,0.0,-0.5,5643.0,1.0,0.351,0.263,0.386,0.062365770946973785,0.06077302314217641,0,0,0.0,2.494147924161398
0.0,0.0,6.0,0.0,1.0,147.0,0.01,0.03,0.02,0.17,193.0,0.0,0.0,3.3,15.0,2025-01-04,24.0,False,1.0,0.0,0.0,0.0,0.0,20.0,0.0,6230.0,0.0,1.0,1.0,17.0,1.0,-61.0,41.0,102.0,43.0,True,0.0,0.0,1.0,0.0116975968703627,20.0,Brighton,Arsenal,1.0,1.0,26794.0,2024.0,697382.0,0.0,0.0,0.0,0.0,0.0116975968703627,0.0,0.0,Brighton,4.0,3.0,20.0,-0.3,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.225,0.249,0.526,0.0259279346331783,0.02955146662478901,0,0,0.0,2.2442220076734367
0.0,0.0,6.0,0.0,25.5,239.0,0.03,0.03,0.0,0.17,195.0,0.0,0.0,3.5,7.2,2025-01-05,11.0,False,10.0,0.0,0.0,0.0,0.0,20.0,0.0,199068.0,0.0,2.0,2.0,2.0,1.0,-1952.0,14812.0,16764.0,47.0,True,0.0,0.0,0.0,0.0,11.0,Fulham,Ipswich,2.0,2.0,26796.0,2024.0,697534.0,0.0506077408790588,0.0,2.0,0.0,0.0,0.0255190134048461,0.0255190134048461,Fulham,2.0,3.0,20.0,1.2,MID,0.0,0.47,0.55,0.08,0.91,2.0,0.0,10.1,15.8,68.8,16.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,1.0,0.09,1.25,0.0,5.0,0.0,0.09,1.19,0.17,3.0,598192.0,0.0,0.48,0.62,0.14,3.03,3.0,0.0,12.9,22.4,73.2,33.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,6.0,0.0,2.0,0.15,1.25,0.0,5.0,0.0,0.15,1.26,0.17,2.6,1035224.0,1.0,0.603,0.225,0.172,0.11119887094916238,0.10856332189290419,0,0,0.0,2.8816843204245246
0.0,0.0,2.0,0.0,11.1,372.0,0.01,0.04,0.03,0.76,196.0,0.0,0.0,2.3,2.4,2025-01-05,18.0,False,12.0,0.0,0.0,0.0,0.0,20.0,0.0,575397.0,0.0,2.0,2.0,9.0,1.0,-38317.0,2080.0,40397.0,60.0,False,0.0,0.0,1.0,0.0464542135596275,16.0,Liverpool,Manchester United,2.0,2.0,26797.0,2024.0,697733.0,0.0318516083061695,0.0,1.0,0.0,0.0464542135596275,0.0464542135596275,0.0,Manchester United,3.0,5.0,20.0,-0.2,MID,0.0,0.22,0.44,0.22,1.49,3.0,0.0,7.6,16.2,45.6,19.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,2.0,0.33,0.47,0.0,4.0,0.0,0.33,0.84,0.09,4.1,1984423.0,0.0,0.24,0.67,0.43,2.32,6.0,0.0,12.6,21.4,50.0,59.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,7.0,0.0,4.0,0.8,0.47,0.0,5.0,0.0,0.8,1.31,0.09,6.1,2912125.0,1.0,0.735,0.165,0.101,0.14581454971557456,0.09197130839088158,0,0,0.0,3.0049866737505178
0.0,0.0,15.0,0.0,28.4,247.0,0.31,0.39,0.08,0.56,195.0,1.0,0.0,4.8,7.0,2025-01-05,62.0,False,10.0,0.0,0.0,0.0,0.0,20.0,0.0,969807.0,1.0,2.0,2.0,13.0,2.0,152680.0,247718.0,95038.0,59.0,True,0.0,0.0,2.0,0.0741091668605804,63.0,Fulham,Ipswich,2.0,2.0,26796.0,2024.0,697531.0,0.3819219172000885,0.0,2.0,0.0,0.0741091668605804,0.1556760370731353,0.1006737723946571,Fulham,2.0,3.0,20.0,2.2,MID,1.0,0.37,1.07,0.7,3.08,3.0,0.0,21.4,38.0,108.7,67.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,7.0,0.0,9.0,0.67,0.32,0.0,8.0,0.0,0.67,1.53,0.65,14.8,2132640.0,1.0,0.44,1.22,0.78,7.24,6.0,0.0,25.9,54.0,127.9,77.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,11.0,0.0,11.0,0.75,0.34,0.0,9.0,0.0,0.75,2.78,1.8,26.2,2967925.0,2.0,0.603,0.225,0.172,0.18478224244560282,0.14780097641902346,0,0,0.0,3.3673141414850845
2.0,2.0,32.0,0.0,24.5,329.0,0.24,0.67,0.43,1.05,196.0,2.0,0.0,8.9,33.6,2025-01-05,90.0,False,14.0,0.0,0.0,0.0,0.0,20.0,0.0,177980.0,1.0,2.0,2.0,31.0,10.0,-1063.0,12679.0,13742.0,62.0,True,0.0,0.0,4.0,0.4493187665939331,90.0,Liverpool,Manchester United,2.0,2.0,26797.0,2024.0,697712.0,0.4293262362480163,1.0,2.0,0.0,0.4493187665939331,1.1217622756958008,0.6175140142440796,Liverpool,3.0,5.0,20.0,6.6,MID,1.0,1.28,1.76,0.48,1.04,2.0,1.0,22.7,102.0,83.9,42.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.0,18.0,1.0,2.0,0.91,1.08,2.0,5.0,1.0,0.91,4.08,2.74,12.5,466578.0,1.0,1.28,1.76,0.48,1.04,2.0,1.0,22.7,102.0,83.9,42.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.0,18.0,1.0,2.0,0.91,1.08,2.0,5.0,1.0,0.91,4.08,2.74,12.5,466578.0,8.0,0.735,0.165,0.101,0.1516514772761492,0.14981158681450693,0,0,0.0,3.2076921468242667
