assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0,0,11,0,0.9,153,0.0,0.0,0.0,0.09,74,0,0,0.9,8.2,2024-10-20,37,False,12,0,0,0,0,8,0,11894,0,1,2,0.0,1,-231,347,578,43,False,0,0,0,0.0,29,Liverpool,Chelsea,2,1,26679,2024,682210,0.0,0,0,0,0.0,0.1603420376777649,0.1603420376777649,4.0,5.0,8.0,-0.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61,0.23,0.21
0,0,11,0,5.9,153,0.05,0.05,0.0,1.11,117,1,0,2.5,18.8,2024-11-23,90,False,11,0,0,0,0,12,0,11885,1,2,1,0.0,2,-85,308,393,43,False,0,0,0,0.0,90,Leicester,Chelsea,1,2,26719,2024,688092,0.0,0,0,0,0.0,0.2284422367811203,0.2284422367811203,4.0,2.0,12.0,1.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.9,8.2,0.9,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,-0.2,11894.0,2.0,0.14,0.22,0.69
0,0,3,0,0.3,153,0.0,0.0,0.0,0.53,123,0,0,0.7,6.6,2024-12-01,30,False,2,0,0,0,0,13,0,12469,0,0,3,0.0,1,428,754,326,43,True,0,0,0,0.0,25,Chelsea,Aston Villa,3,0,26724,2024,690685,0.0,0,0,0,0.0,0.1392620652914047,0.1392620652914047,3.0,4.0,13.0,1.3,DEF,0.0,0.05,0.05,0.0,1.11,1.0,0.0,2.5,18.8,5.9,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,1.2,11885.0,0.0,0.05,0.05,0.0,1.2,1.0,0.0,3.4,27.0,6.8,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,1.0,23779.0,1.0,0.58,0.24,0.23
0,0,-3,0,1.7,153,0.01,0.01,0.0,2.9,149,3,0,1.6,14.6,2024-12-08,90,False,18,0,0,0,0,15,0,13850,1,4,3,0.0,1,-408,545,953,43,False,0,0,0,0.0,90,Tottenham,Chelsea,3,4,26745,2024,693032,0.0,0,0,0,0.0,0.1629065126180648,0.1629065126180648,4.0,4.0,15.0,1.0,DEF,0.0,0.05,0.05,0.0,1.64,1.0,0.0,3.2,25.4,6.2,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,2.5,24354.0,0.0,0.05,0.05,0.0,1.64,1.0,0.0,3.2,25.4,6.2,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,2.5,24354.0,1.0,0.32,0.25,0.48
