assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,0.0,0.0,0.3,770.0,0.01,0.6,0.6,0.0,246.0,0.0,0.0,2.5,4.4,2025-02-16,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,25.0,0.0,260.0,0.0,1.0,2.0,20.0,1.0,192.0,203.0,11.0,50.0,False,0.0,0.0,2.0,0.2812192440032959,41.0,Liverpool,Wolverhampton Wanderers,2.0,1.0,26847.0,2024.0,706732.0,0.0,0.0,0.0,0.0,0.2812192440032959,0.3824386596679687,0.1237304359674453,Wolverhampton Wanderers,2.0,5.0,25.0,0.8,MID
0.0,0.0,0.0,0.0,0.3,770.0,0.01,0.6,0.6,0.0,246.0,0.0,0.0,2.5,4.4,2025-02-16,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,25.0,0.0,260.0,0.0,1.0,2.0,20.0,1.0,192.0,203.0,11.0,50.0,False,0.0,0.0,2.0,0.2812192440032959,41.0,Liverpool,Wolverhampton Wanderers,2.0,1.0,26847.0,2024.0,706732.0,0.0,0.0,0.0,0.0,0.2812192440032959,0.3824386596679687,0.1237304359674453,Wolverhampton Wanderers,2.0,5.0,25.0,0.8,MID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,,3
