assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0,0,9,0,30.9,437,0.13,0.16,0.03,1.22,6,1,0,5.9,21.8,2024-08-17,90,3,0,0,0,0,1,0,43912,1,1,1,6.0,1,0,0,0,45,True,1,0,1,0.073936603963375,90,Nottingham Forest,Bournemouth,1,1,26607,2024,666386,0.1802545040845871,0,2,0,0.073936603963375,0.270686388015747,0.0885940343141555,2,2,1,1.9,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.29,0.36
0,0,25,1,6.3,437,0.02,0.3,0.28,0.14,18,0,0,5.2,19.6,2024-08-24,90,17,0,0,0,0,2,0,48362,1,1,0,26.0,6,-570,3034,3604,45,False,0,0,5,0.4509655833244324,90,Southampton,Nottingham Forest,0,1,26616,2024,668055,0.0,0,0,0,0.4509655833244324,0.4669642448425293,0.0363744758069515,3,2,2,4.0,DEF,0.0,0.13,0.16,0.03,1.22,1.0,0.0,5.9,21.8,30.9,6.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.07,0.18,0.0,2.0,0.0,0.07,0.27,0.09,1.9,43912.0,0.0,0.13,0.16,0.03,1.22,1.0,0.0,5.9,21.8,30.9,6.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.07,0.18,0.0,2.0,0.0,0.07,0.27,0.09,1.9,43912.0,6.0,0.4,0.29,0.35
0,0,1,0,11.7,437,0.03,0.15,0.12,0.74,29,1,0,2.7,7.4,2024-08-31,90,20,0,0,0,0,3,0,71770,1,1,1,8.0,2,16990,24310,7320,45,True,0,0,1,0.1114219352602958,90,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671844,0.0288645923137664,0,1,0,0.1114219352602958,0.1561932861804962,0.0447713546454906,2,2,3,3.0,DEF,1.0,0.15,0.46,0.31,1.36,1.0,0.0,11.1,41.4,37.2,32.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,6.0,0.52,0.18,0.0,2.0,0.0,0.52,0.74,0.12,5.9,92274.0,1.0,0.15,0.46,0.31,1.36,1.0,0.0,11.1,41.4,37.2,32.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,6.0,0.52,0.18,0.0,2.0,0.0,0.52,0.74,0.12,5.9,92274.0,2.0,0.49,0.28,0.28
0,0,7,0,0.0,437,0.0,0.0,0.0,0.09,36,0,0,0.7,7.0,2024-09-14,10,12,0,0,0,0,4,0,66011,0,1,0,0.0,1,-6142,5611,11753,45,False,0,0,0,0.0,7,Liverpool,Nottingham Forest,0,1,26635,2024,673794,0.0,0,0,0,0.0,0.0,0.0,3,5,4,2.0,DEF,1.0,0.18,0.61,0.43,2.1,2.0,0.0,13.8,48.8,48.9,40.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,9.0,0.0,7.0,0.64,0.21,0.0,3.0,0.0,0.64,0.89,0.17,8.9,164044.0,1.0,0.18,0.61,0.43,2.1,2.0,0.0,13.8,48.8,48.9,40.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,9.0,0.0,7.0,0.64,0.21,0.0,3.0,0.0,0.64,0.89,0.17,8.9,164044.0,1.0,0.82,0.15,0.08
0,0,-1,0,0.3,437,0.0,0.0,0.0,0.55,42,0,0,0.6,5.4,2024-09-22,45,5,0,0,0,0,5,0,63914,0,2,2,0.0,0,-3094,1549,4643,45,False,1,0,0,0.0,40,Brighton,Nottingham Forest,2,2,26650,2024,676327,0.0,0,0,0,0.0,0.0691234245896339,0.0691234245896339,3,3,5,2.2,DEF,1.0,0.05,0.45,0.4,0.97,1.0,0.0,8.6,34.0,18.0,34.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,9.0,0.0,6.0,0.56,0.03,0.0,1.0,0.0,0.56,0.62,0.08,9.0,186143.0,1.0,0.18,0.61,0.43,2.19,2.0,0.0,14.5,55.8,48.9,40.0,280.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,10.0,0.0,7.0,0.64,0.21,0.0,3.0,0.0,0.64,0.89,0.17,10.9,230055.0,0.0,0.56,0.26,0.22
0,0,2,0,1.1,437,0.0,0.0,0.0,0.01,59,0,0,0.5,2.2,2024-09-28,6,9,0,0,0,0,6,0,57154,0,1,0,2.0,1,-7310,1053,8363,45,True,0,0,0,0.0,4,Nottingham Forest,Fulham,0,1,26653,2024,677788,0.0,0,0,0,0.0,0.0,0.0,2,2,6,0.7,DEF,0.0,0.03,0.15,0.12,1.38,1.0,0.0,4.0,19.8,12.0,8.0,145.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,1.0,0.11,0.03,0.0,1.0,0.0,0.11,0.23,0.11,7.2,201695.0,1.0,0.18,0.61,0.43,2.74,2.0,0.0,15.1,61.2,49.2,40.0,325.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,4.0,10.0,0.0,7.0,0.64,0.21,0.0,3.0,0.0,0.64,0.96,0.24,13.1,293969.0,1.0,0.42,0.3,0.32
0,0,0,0,0.3,437,0.0,0.16,0.16,1.03,65,0,0,3.4,5.4,2024-10-06,8,6,0,0,0,0,7,0,51831,0,1,1,28.0,0,-5839,505,6344,45,False,1,0,2,0.3391317129135132,7,Chelsea,Nottingham Forest,1,1,26668,2024,680165,0.0,0,0,0,0.3391317129135132,0.3391317129135132,0.0,3,4,7,0.5,DEF,0.0,0.0,0.0,0.0,0.65,0.0,0.0,1.8,14.6,1.4,2.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,4.9,187079.0,1.0,0.05,0.45,0.4,1.53,1.0,0.0,9.7,41.6,19.4,36.0,241.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,10.0,0.0,6.0,0.56,0.03,0.0,1.0,0.0,0.56,0.69,0.15,11.9,307211.0,0.0,0.67,0.22,0.15
0,0,5,0,11.5,437,0.02,0.02,0.0,0.22,77,0,0,1.9,5.4,2024-10-21,12,7,0,0,0,0,8,0,49586,0,0,1,2.0,1,-2978,914,3892,44,True,0,0,0,0.0,10,Nottingham Forest,Crystal Palace,1,0,26677,2024,682448,0.0608653500676155,0,1,0,0.0,0.0608653500676155,0.0608653500676155,2,2,8,0.7,DEF,0.0,0.0,0.16,0.16,1.59,0.0,0.0,4.5,13.0,1.7,30.0,59.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,0.34,0.0,0.0,0.0,0.0,0.34,0.41,0.07,3.4,172899.0,0.0,0.03,0.31,0.28,2.42,1.0,0.0,7.9,27.4,13.4,38.0,159.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,4.0,0.0,3.0,0.45,0.03,0.0,1.0,0.0,0.45,0.56,0.11,8.4,310680.0,1.0,0.42,0.31,0.31
0,0,8,0,0.5,437,0.0,0.0,0.0,0.06,88,0,0,0.8,5.0,2024-10-25,18,11,0,0,0,0,9,0,47760,0,3,1,2.0,1,-2014,587,2601,44,False,0,0,0,0.0,16,Leicester,Nottingham Forest,1,3,26682,2024,682649,0.0,0,0,0,0.0,0.248287096619606,0.248287096619606,3,2,9,0.7,DEF,0.0,0.02,0.18,0.16,1.26,0.0,0.0,5.8,13.0,12.9,32.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.34,0.06,0.0,1.0,0.0,0.34,0.4,0.06,1.9,158571.0,0.0,0.02,0.18,0.16,1.9,0.0,0.0,7.1,25.4,13.2,32.0,81.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,3.0,0.0,2.0,0.34,0.06,0.0,1.0,0.0,0.34,0.47,0.13,6.1,288496.0,1.0,0.32,0.3,0.42
