assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0,0,5,0,33.7,122,0.07,0.11,0.04,0.94,21,0,0,4.6,3.8,2024-08-31,18,1,0,0,0,0,3,0,14157,0,1,1,8.0,1,1640,4181,2541,50,False,0,0,2,0.0340739674866199,14,Arsenal,Brighton,1,1,26622,2024,671533,0.0913289338350296,0,2,0,0.0340739674866199,0.2132713943719864,0.2054262012243271,2,5,3,-0.7,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.18,0.12
0,0,8,0,41.3,122,0.17,0.19,0.02,1.53,42,2,0,6.1,11.4,2024-09-22,81,16,0,0,0,0,5,0,52548,1,2,2,8.0,1,-755,8346,9101,50,True,0,0,1,0.0297092925757169,86,Brighton,Nottingham Forest,2,2,26650,2024,676302,0.1515906751155853,0,2,0,0.0297092925757169,0.0,0.0,3,3,5,0.7,DEF,0.0,0.07,0.11,0.04,0.94,0.0,0.0,4.6,3.8,33.7,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.03,0.09,0.0,2.0,0.0,0.03,0.21,0.21,-0.7,14157.0,0.0,0.07,0.11,0.04,0.94,0.0,0.0,4.6,3.8,33.7,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.03,0.09,0.0,2.0,0.0,0.03,0.21,0.21,-0.7,14157.0,1.0,0.56,0.26,0.22
0,0,-6,0,6.7,122,0.03,0.03,0.0,4.16,54,4,0,2.3,11.8,2024-09-28,90,6,0,0,0,0,6,0,49045,1,2,4,4.0,-1,-4463,5367,9830,50,False,1,0,0,0.0,90,Chelsea,Brighton,4,2,26657,2024,677912,0.0,0,0,0,0.0,0.0573815368115901,0.0573815368115901,2,4,6,0.0,DEF,0.0,0.24,0.3,0.06,2.47,2.0,0.0,10.7,15.2,75.0,16.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.06,0.24,0.0,4.0,0.0,0.06,0.21,0.21,0.0,66705.0,0.0,0.24,0.3,0.06,2.47,2.0,0.0,10.7,15.2,75.0,16.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.06,0.24,0.0,4.0,0.0,0.06,0.21,0.21,0.0,66705.0,-1.0,0.57,0.24,0.23
0,0,4,0,15.3,122,0.08,0.08,0.0,0.42,64,0,0,3.2,14.8,2024-10-06,45,18,0,0,0,0,7,0,47642,0,2,3,2.0,1,-2890,4838,7728,50,True,0,0,0,0.0,42,Brighton,Tottenham,3,2,26671,2024,680429,0.0328605808317661,0,1,0,0.0,0.3842136263847351,0.3842136263847351,4,3,7,0.2,DEF,0.0,0.2,0.22,0.02,5.69,6.0,0.0,8.4,23.2,48.0,12.0,171.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.03,0.15,0.0,2.0,0.0,0.03,0.06,0.06,0.7,101593.0,0.0,0.27,0.33,0.06,6.63,6.0,0.0,13.0,27.0,81.7,20.0,189.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,1.0,0.0,3.0,0.06,0.24,0.0,4.0,0.0,0.06,0.27,0.26,0.0,115750.0,1.0,0.34,0.25,0.45
0,0,4,0,0.1,122,0.0,0.0,0.0,0.27,76,0,0,0.9,6.8,2024-10-19,18,15,0,0,0,0,8,0,52426,0,1,0,2.0,1,2962,7473,4511,50,False,0,0,0,0.0,17,Newcastle United,Brighton,0,1,26676,2024,681376,0.0,0,0,0,0.0,0.0,0.0,2,4,8,0.3,DEF,0.0,0.28,0.3,0.02,6.11,6.0,0.0,11.6,38.0,63.3,14.0,216.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,9.0,1.0,0.0,1.0,0.03,0.18,0.0,3.0,0.0,0.03,0.44,0.44,0.9,149235.0,0.0,0.35,0.41,0.06,7.05,6.0,0.0,16.2,41.8,97.0,22.0,234.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,10.0,2.0,0.0,3.0,0.06,0.28,0.0,5.0,0.0,0.06,0.65,0.65,0.2,163392.0,1.0,0.5,0.26,0.29
0,0,15,0,24.2,122,0.08,0.12,0.04,1.36,84,2,0,6.5,29.8,2024-10-26,90,20,0,0,0,0,9,0,57707,1,2,2,11.0,0,3867,7196,3329,50,True,1,0,1,0.0340095087885856,90,Brighton,Wolverhampton Wanderers,2,2,26686,2024,683025,0.0113303828984498,0,1,0,0.0340095087885856,0.0398594178259372,0.0398594178259372,2,3,9,0.7,DEF,0.0,0.11,0.11,0.0,4.85,4.0,0.0,6.4,33.4,22.1,8.0,153.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,1.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.44,0.44,0.5,149113.0,0.0,0.28,0.3,0.02,6.38,6.0,0.0,12.5,44.8,63.4,16.0,234.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,9.0,2.0,0.0,1.0,0.03,0.18,0.0,3.0,0.0,0.03,0.44,0.44,1.2,201661.0,0.0,0.61,0.24,0.2
0,0,3,0,7.8,122,0.02,0.02,0.0,1.65,94,2,0,2.1,13.4,2024-11-02,90,12,0,0,0,0,10,0,55305,1,1,2,0.0,1,-2504,5039,7543,50,False,0,0,0,0.0,90,Liverpool,Brighton,2,1,26696,2024,685041,0.0,0,0,0,0.0,0.1640999019145965,0.1640999019145965,2,5,10,-0.3,DEF,0.0,0.16,0.2,0.04,2.05,2.0,0.0,10.6,51.4,39.6,15.0,153.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,2.0,0.0,1.0,0.03,0.04,0.0,2.0,0.0,0.03,0.42,0.42,1.2,157775.0,0.0,0.36,0.42,0.06,7.74,8.0,0.0,19.0,74.6,87.6,27.0,324.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,11.0,2.0,0.0,2.0,0.06,0.2,0.0,4.0,0.0,0.06,0.48,0.48,1.9,259368.0,1.0,0.71,0.2,0.13
0,0,11,0,29.9,122,0.29,0.41,0.12,2.22,102,1,0,5.3,19.2,2024-11-09,90,13,0,0,0,0,11,0,58087,1,1,2,4.0,2,1718,6469,4751,50,True,0,0,1,0.3406646847724914,90,Brighton,Manchester City,2,1,26703,2024,686852,0.6739108562469482,0,2,0,0.3406646847724914,1.8666752576828003,0.8520996570587158,5,3,11,,,0.0,0.1,0.14,0.04,3.28,4.0,0.0,9.5,50.0,32.1,13.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,2.0,0.0,1.0,0.03,0.01,0.0,1.0,0.0,0.03,0.2,0.2,0.7,165438.0,0.0,0.21,0.25,0.04,7.86,8.0,0.0,15.0,76.6,54.1,19.0,333.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,11.0,2.0,0.0,1.0,0.03,0.04,0.0,2.0,0.0,0.03,0.65,0.65,0.9,262125.0,2.0,0.23,0.25,0.57
