,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
0,2123554,469292,1,,"[(602, 368)]",75.0,75.0,"(597, 602, 131, 5, 143, 19, 396, 308, 135, 211, 355, 28, 196, 368, 160)",355.0,396.0,0.0
1,2123554,469292,2,,[],45.0,120.0,"(28, 5, 195, 131, 143, 19, 396, 308, 135, 211, 355, 597, 196, 602, 160)",308.0,396.0,0.0
2,2123554,469292,3,,[],45.0,161.0,"(597, 616, 195, 131, 143, 19, 396, 353, 135, 211, 355, 28, 5, 196, 160)",355.0,211.0,40.0
3,2123554,469292,4,,"[(5, 616)]",74.0,235.0,"(597, 5, 195, 131, 143, 504, 19, 396, 353, 211, 355, 28, 135, 616, 160)",355.0,211.0,7.0
4,2123554,469292,5,,"[(5, 131)]",34.0,269.0,"(28, 616, 195, 5, 143, 504, 19, 396, 326, 211, 355, 597, 353, 131, 160)",355.0,211.0,7.0
5,2123554,469292,6,wildcard,[],72.0,341.0,"(101, 427, 405, 131, 19, 396, 143, 108, 343, 617, 355, 524, 504, 508, 36)",355.0,108.0,8.0
6,2123554,469292,7,,"[(36, 405)]",44.0,385.0,"(524, 427, 36, 131, 504, 516, 396, 108, 617, 343, 355, 101, 143, 405, 508)",355.0,108.0,2.0
7,2123554,469292,8,,"[(524, 101)]",32.0,417.0,"(524, 427, 519, 36, 143, 504, 516, 108, 617, 343, 355, 101, 396, 131, 508)",516.0,355.0,0.0
8,2123554,469292,9,,[],77.0,494.0,"(28, 427, 36, 519, 504, 516, 108, 396, 617, 343, 355, 524, 143, 508, 131)",355.0,516.0,4.0
9,2123554,469292,10,,"[(412, 5)]",85.0,547.0,"(524, 311, 29, 36, 412, 143, 308, 19, 599, 60, 355, 28, 5, 427, 538)",355.0,19.0,4.0
10,2123554,469292,11,,[],30.0,577.0,"(524, 228, 36, 311, 412, 308, 19, 143, 599, 60, 355, 28, 29, 5, 538)",355.0,308.0,9.0
11,2123554,469292,12,,"[(228, 29)]",65.0,642.0,"(524, 5, 228, 36, 143, 308, 19, 599, 412, 60, 355, 28, 29, 311, 538)",60.0,308.0,9.0
12,2123554,469292,13,,[],48.0,678.0,"(524, 228, 20, 5, 308, 19, 664, 599, 85, 355, 60, 28, 362, 36, 311)",85.0,308.0,0.0
13,2123554,469292,14,,[],57.0,731.0,"(524, 311, 20, 112, 308, 19, 108, 362, 85, 355, 60, 28, 664, 5, 228)",308.0,355.0,0.0
14,2123554,469292,15,,"[(112, 311)]",33.0,764.0,"(524, 5, 112, 20, 308, 19, 108, 362, 60, 85, 355, 28, 664, 311, 228)",308.0,355.0,0.0
15,2123554,469292,16,,"[(664, 355)]",39.0,803.0,"(409, 311, 20, 112, 308, 19, 557, 362, 664, 60, 85, 524, 355, 5, 228)",355.0,557.0,13.0
16,2123554,469292,17,,"[(5, 83), (557, 85)]",65.0,860.0,"(409, 5, 311, 20, 516, 308, 19, 362, 557, 60, 433, 524, 85, 83, 112)",308.0,516.0,42.0
17,2123554,469292,18,,[],52.0,908.0,"(409, 506, 20, 83, 308, 34, 362, 516, 433, 85, 60, 524, 19, 311, 112)",60.0,516.0,36.0
18,2123554,469292,19,,[],38.0,946.0,"(409, 506, 20, 83, 308, 34, 19, 516, 433, 85, 60, 524, 362, 311, 112)",308.0,516.0,36.0
19,2123554,469292,20,,[],89.0,1035.0,"(524, 506, 20, 369, 308, 34, 19, 526, 362, 85, 60, 409, 433, 83, 112)",60.0,526.0,47.0
20,2123554,469292,21,,[],48.0,1075.0,"(524, 506, 20, 131, 34, 19, 362, 134, 135, 85, 60, 409, 112, 369, 526)",60.0,135.0,131.0
21,2123554,469292,22,,"[(20, 369)]",51.0,1126.0,"(524, 131, 506, 20, 349, 134, 19, 362, 60, 85, 135, 409, 369, 34, 112)",349.0,85.0,108.0
22,2123554,469292,23,,[],81.0,1207.0,"(409, 506, 369, 131, 349, 19, 362, 134, 355, 85, 60, 524, 34, 112, 20)",60.0,355.0,22.0
23,2123554,469292,24,,[],69.0,1272.0,"(409, 506, 369, 321, 349, 19, 362, 134, 355, 314, 60, 524, 34, 112, 20)",314.0,355.0,45.0
24,2123554,469292,25,,"[(34, 314)]",89.0,1357.0,"(409, 321, 369, 20, 349, 134, 19, 308, 34, 326, 355, 524, 314, 112, 506)",355.0,308.0,4.0
25,2123554,469292,26,wildcard,[],60.0,1417.0,"(101, 545, 5, 792, 689, 19, 567, 557, 355, 60, 117, 301, 308, 508, 83)",117.0,557.0,3.0
26,2123554,469292,27,,[],65.0,1478.0,"(301, 83, 5, 792, 504, 19, 567, 516, 355, 60, 117, 101, 689, 545, 508)",19.0,355.0,14.0
27,2123554,469292,28,,[],58.0,1524.0,"(301, 321, 5, 792, 526, 19, 689, 516, 85, 60, 326, 101, 504, 545, 508)",85.0,326.0,93.0
