assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,3,0,0.0,723,364,0,0,0.0,0.0,2022-04-28,1,6,0,0,0,0,34,0,138,1,1,0.0,1,105,121,16,45,True,0,0,0,0,1,Sub,Manchester United,Chelsea,1,1,16742,2021,530000,0,0,0,0,0,0,0,4,4,34
0,0,2,0,0.0,723,376,0,0,0.0,0.0,2022-05-22,11,7,0,0,0,0,38,0,714,0,1,0.0,1,159,270,111,45,False,0,0,0,0,10,Sub,Crystal Palace,Manchester United,1,0,16751,2021,537825,0,0,0,0,0,0,0,3,2,38
