id,xP
1,0.0
2,1.3
3,2.0
4,1.5
5,0.0
6,1.7
7,0.5
8,0.7
9,3.7
12,1.3
13,2.3
15,2.0
16,2.5
17,3.7
18,0.7
20,2.5
21,0.0
22,0.0
23,2.5
24,2.0
25,0.7
73,0.5
186,0.0
578,0.0
597,0.7
633,2.6
638,0.5
639,0.5
657,0.5
658,0.5
659,0.5
662,0.5
665,0.5
28,1.0
29,0.0
30,0.0
31,-0.8
32,0.0
33,0.0
34,0.0
35,-0.2
36,2.2
37,0.0
38,0.0
39,-1.0
40,-1.0
41,0.0
42,-0.5
43,0.0
44,-0.2
45,-0.5
46,0.0
47,2.0
48,0.5
49,-1.0
50,-1.0
51,-1.0
52,0.2
53,1.2
54,3.2
55,0.0
56,0.0
57,2.0
58,2.5
233,0.5
569,-1.0
598,-1.0
640,-1.0
641,-1.0
656,-1.0
59,0.0
60,0.8
61,0.0
62,0.8
63,2.8
64,3.0
65,1.0
66,0.0
67,0.0
68,0.0
69,0.0
70,5.0
71,5.8
72,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,3.8
79,3.2
80,0.0
81,1.0
83,2.2
84,2.0
85,2.5
152,1.5
580,0.5
592,0.5
599,0.0
617,7.0
86,0.0
87,0.0
88,1.0
89,4.5
90,0.0
91,2.5
92,0.0
93,0.0
94,5.2
95,1.0
96,0.0
97,0.2
98,3.0
99,6.2
100,0.0
101,2.5
102,0.0
103,0.0
104,2.5
105,1.2
106,1.0
107,0.0
108,0.0
109,0.0
110,6.5
111,0.8
112,0.0
314,0.8
338,1.0
602,0.0
634,0.0
649,0.0
661,0.0
674,0.0
113,-0.2
114,0.0
115,0.8
116,0.0
118,0.0
119,0.0
120,0.2
121,-0.5
122,0.0
123,1.2
124,0.0
125,0.0
126,0.2
127,0.0
128,1.0
129,1.3
130,0.0
131,-0.2
132,0.0
133,0.0
134,0.0
135,-0.5
136,0.8
137,-0.5
138,0.0
139,0.0
140,-1.0
141,0.0
142,-1.0
143,0.0
144,0.0
145,1.8
146,3.5
147,0.0
148,4.8
149,-0.2
595,-0.2
600,0.4
601,0.0
615,0.0
618,2.8
628,3.5
629,0.8
663,-1.0
668,-1.0
150,0.0
151,0.0
153,-0.3
154,-0.5
155,-0.5
157,4.0
158,-0.5
160,-0.5
161,-0.5
162,1.0
163,0.3
164,0.0
165,-0.5
166,-0.5
167,-0.5
168,1.3
169,0.0
170,0.0
171,0.7
172,0.7
173,0.0
174,1.7
175,0.0
176,0.0
177,1.0
178,-0.5
179,0.3
180,4.0
181,0.0
182,2.8
183,0.0
184,-0.5
185,1.5
187,-0.7
189,0.7
386,-0.2
560,3.7
575,0.0
581,-0.5
621,-0.5
11,0.0
159,4.5
190,0.0
193,0.5
194,0.0
195,0.0
196,0.8
197,0.0
199,0.0
200,4.0
201,3.8
202,0.0
203,0.0
205,0.8
206,0.0
207,3.2
208,0.0
209,0.0
210,2.5
211,2.5
212,0.0
213,0.0
214,0.8
215,0.0
216,0.0
445,0.0
585,2.0
644,0.0
645,0.5
646,0.5
647,0.0
650,2.0
666,0.2
676,1.0
156,0.0
217,1.5
218,2.2
219,2.0
220,2.0
221,0.0
222,2.2
223,0.0
224,1.8
225,0.0
226,0.0
227,0.0
228,4.2
229,0.0
230,1.9
231,4.2
232,2.8
234,0.0
235,5.2
236,4.0
237,0.0
238,4.8
577,1.5
582,0.0
603,0.0
614,0.0
624,0.0
627,0.0
651,1.8
678,1.1
10,1.8
19,5.0
191,1.8
239,2.5
240,2.0
241,2.5
242,0.0
243,0.8
244,0.2
245,0.0
246,0.0
247,5.0
248,4.8
249,0.0
250,0.0
251,0.5
252,4.0
253,0.0
254,0.5
255,3.8
256,0.0
257,2.8
258,0.0
259,5.2
579,0.0
586,0.2
604,0.0
605,0.0
622,2.2
260,-0.5
261,0.0
262,-0.5
263,0.7
264,0.5
265,1.5
266,-1.5
267,3.0
268,4.5
269,0.0
270,0.0
271,0.0
272,2.7
273,0.0
274,1.0
275,0.3
276,0.0
277,-0.3
278,2.5
279,0.0
280,-0.5
281,0.0
282,0.0
283,-0.5
284,0.0
359,0.0
568,2.0
583,-0.3
611,4.5
619,0.5
630,0.7
631,0.7
632,0.0
117,2.5
192,3.8
198,0.2
285,0.8
286,0.0
287,0.0
288,0.0
289,0.0
290,0.1
291,1.2
292,0.0
293,1.8
294,0.0
295,0.8
296,0.2
297,0.0
298,1.0
299,0.5
300,2.0
301,0.5
302,0.5
303,0.0
304,0.0
305,0.0
306,4.8
307,0.8
308,0.0
309,2.8
501,0.2
570,2.5
606,0.0
616,0.0
635,1.2
310,0.0
311,2.5
312,0.0
313,2.8
315,0.0
316,4.5
317,0.0
318,0.0
319,0.0
320,1.8
321,4.2
322,1.5
323,3.2
324,6.5
325,4.0
326,3.2
327,3.5
328,12.2
329,2.2
330,1.0
331,1.0
332,0.0
333,1.0
334,0.0
335,3.8
336,2.2
337,2.0
339,6.0
636,0.0
660,1.0
669,1.0
340,2.8
341,1.2
342,3.0
343,0.0
344,1.0
345,1.2
346,2.5
347,3.8
348,3.8
349,0.0
350,7.8
351,4.8
352,0.0
353,0.0
354,3.2
355,3.2
356,3.8
357,1.0
358,1.0
360,0.0
361,0.0
362,0.0
363,1.2
571,3.5
607,1.0
625,3.8
626,0.0
671,1.0
672,1.0
675,2.2
364,1.4
365,0.0
366,8.5
367,0.0
368,4.0
369,1.0
370,1.2
371,0.5
372,5.0
373,0.0
374,0.0
375,4.2
376,0.8
377,0.0
378,0.0
379,0.0
380,2.5
381,0.0
382,0.0
383,3.5
384,0.0
385,2.5
387,0.0
389,1.8
572,0.0
593,2.5
594,3.2
613,0.0
648,0.0
652,1.2
667,0.0
670,0.0
673,0.0
390,0.0
391,0.8
392,2.8
393,0.0
394,2.2
395,2.2
396,0.0
398,2.5
399,3.8
400,0.0
401,7.0
402,0.6
403,4.2
404,0.5
405,0.0
406,0.0
407,0.0
408,0.0
409,3.0
410,2.2
411,0.0
412,0.0
413,3.0
414,0.0
415,2.2
416,0.0
417,1.8
418,0.0
419,0.0
420,1.5
421,0.0
574,0.0
590,0.8
26,4.2
422,6.0
423,2.8
424,1.0
425,0.0
426,0.0
427,0.0
428,0.2
429,0.0
430,0.0
431,2.0
432,3.2
433,1.0
434,4.0
435,0.0
436,5.8
437,0.5
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,6.0
444,0.0
446,0.0
447,7.2
448,0.0
449,3.8
531,0.2
573,3.5
596,1.0
620,1.0
653,0.5
14,3.0
27,3.3
188,-0.3
397,-0.5
450,0.0
451,-0.5
452,2.7
453,1.7
454,0.0
455,1.7
456,-0.5
457,-0.3
458,0.0
459,0.0
460,-0.5
461,1.5
462,0.0
463,0.0
464,-0.5
465,0.0
466,-0.5
467,1.3
468,0.0
469,-0.5
470,0.3
471,0.0
472,1.5
473,0.0
474,2.0
475,-0.3
476,3.3
477,-0.5
515,-0.5
518,1.0
584,-0.3
608,0.3
623,1.3
82,6.0
478,0.0
479,0.5
480,3.0
481,0.5
482,4.0
483,0.0
484,0.7
485,0.0
486,1.3
487,0.0
488,0.5
489,1.0
490,0.0
