assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,3,0,1.0,550,0.01,0.01,0.0,0.93,20,4,0,0.6,3.4,2024-08-25,58,6,0,0,0,0,2,0,83241,1,6,2,2.0,1,-7281,4051,11332,65,True,0,0,0,0.0,68,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668739,0.0,0,0,0,0.0,0.657800555229187,0.657800555229187,3,2,2,1.5,MID,0.0,0.33,0.0,0.0,0.0,0.31,1.33,0.0,1.13,19.33,0.0,0.0,0.0,0.0,0.0,0.33,2.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.5
0,0,3,0,10.6,550,0.01,0.01,0.0,0.68,29,0,0,1.7,4.4,2024-08-31,30,16,0,0,0,0,3,0,73088,0,1,1,2.0,1,-12372,5169,17541,64,False,0,0,0,0.0,28,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671872,0.022649522870779,0,1,0,0.0,0.022649522870779,0.0,2,2,3,1.3,MID,0.0,3.87,0.01,0.01,0.0,0.54,1.33,0.0,2.6,29.33,0.0,0.0,0.0,0.0,0.0,0.33,2.33,1.0,0.67,0.0,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.23,0.22,0.93
0,0,3,0,5.3,550,0.02,0.02,0.0,0.5,40,2,0,0.8,2.4,2024-09-15,19,15,0,0,0,0,4,0,58389,0,2,1,0.0,1,-15735,1860,17595,63,True,0,0,0,0.0,17,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674624,0.0,0,0,0,0.0,0.0,0.0,3,2,4,0.7,MID,0.0,5.63,0.01,0.01,0.0,0.7,2.0,0.0,3.4,35.67,0.0,0.0,0.0,0.0,0.0,0.33,3.0,1.33,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.23,0.22,1.17
0,0,3,0,0.6,550,0.0,0.0,0.0,0.15,60,0,0,0.3,0.2,2024-09-28,22,12,0,0,0,0,6,0,43645,0,2,1,2.0,1,-8729,719,9448,62,True,0,0,0,0.0,18,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678062,0.0,0,0,0,0.0,0.0,0.0,4,2,6,0.2,MID,0.0,1.97,0.01,0.01,0.0,0.22,0.67,0.0,0.87,13.67,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
