assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,1,28,1,14.8,530,0.1,0.25,0.15,1.32,14,0,1,8.4,36.0,2024-08-24,77,7,0,0,0,0,2,0,237434,1,2,0,33.0,8,9279,22938,13659,50,False,1,1,3,0.2163840383291244,78,Crystal Palace,West Ham,0,2,26613,2024,667937,0.086087942123413,0,1,1,0.2163840383291244,0.2746567726135254,0.0277204439043998,2,3,2,6.5,MID,0.33,4.93,0.03,0.08,0.05,0.44,0.0,0.33,12.0,25.67,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,2.67,0.33,0.33,1.0,0.07,0.03,0.0,0.33,0.33,0.07,0.09,0.01,2.17
0,0,2,0,0.5,530,0.08,0.21,0.13,0.76,30,1,0,0.7,0.0,2024-08-31,13,13,0,0,0,0,3,0,326006,0,3,1,8.0,1,69691,113077,43386,50,True,0,0,1,0.063685767352581,11,West Ham,Manchester City,1,3,26628,2024,672013,0.0,0,0,0,0.063685767352581,0.0824788808822631,0.0187931079417467,5,2,3,3.7,MID,0.33,5.1,0.06,0.15,0.09,0.69,0.33,0.33,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,0.33,3.0,0.33,0.33,1.33,0.09,0.03,0.0,0.33,0.33,0.09,0.12,0.02,3.4
0,0,1,0,0.7,530,0.0,0.07,0.07,0.78,35,1,0,1.0,1.4,2024-09-14,45,9,0,0,0,0,4,0,332326,1,1,1,8.0,1,3390,51985,48595,50,False,0,0,2,0.0729325264692306,47,Fulham,West Ham,1,1,26634,2024,673756,0.0,0,0,0,0.0729325264692306,0.0729325264692306,0.0,2,3,4,3.8,MID,0.33,5.33,0.06,0.18,0.12,0.95,0.67,0.33,12.47,45.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,0.67,3.33,0.33,0.33,2.0,0.12,0.03,0.0,0.33,0.33,0.12,0.14,0.02,4.67
0,0,9,0,12.7,530,0.13,0.19,0.06,1.26,50,1,0,4.7,13.0,2024-09-21,52,6,0,0,0,0,5,0,311866,0,3,0,21.0,0,-21052,10799,31851,50,True,1,0,1,0.0493093766272068,53,West Ham,Chelsea,0,3,26642,2024,675286,0.0517084896564483,0,1,0,0.0493093766272068,0.1641126275062561,0.0630947649478912,3,2,5,2.5,MID,0.0,4.63,0.07,0.16,0.09,0.93,1.0,0.0,4.8,36.67,0.0,0.0,0.0,0.0,0.0,0.33,2.33,0.67,0.67,0.33,0.0,1.33,0.06,0.02,0.0,0.33,0.0,0.06,0.11,0.03,3.33
0,3,34,0,44.4,530,0.08,0.3,0.22,0.37,53,1,1,13.3,58.0,2024-09-28,90,4,0,0,0,0,6,0,262770,1,1,1,31.0,10,-49555,6057,55612,50,False,0,1,1,0.1243655383586883,90,Brentford,West Ham,1,1,26656,2024,677884,0.2155486941337585,0,4,1,0.1243655383586883,0.4505223929882049,0.147067055106163,2,2,6,3.7,MID,0.0,19.27,0.07,0.19,0.12,0.8,1.0,0.33,24.13,62.33,0.0,0.0,0.0,0.0,0.0,0.67,1.67,0.67,3.67,0.33,0.33,1.33,0.08,0.09,0.0,1.67,0.33,0.08,0.23,0.07,3.33
