assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,5,1,16.9,447,0.09,0.33,0.24,0.14,18,0,0,6.3,6.2,2024-08-24,74,17,0,0,0,0,2,0,801636,1,1,0,40.0,1,239192,275401,36209,61,False,1,0,3,0.5129415392875671,77,Southampton,Nottingham Forest,0,1,26616,2024,668064,0.6238844394683838,0,1,0,0.5129415392875671,0.4698241353034973,0.0,2,2,2,5.5,FWD,0.33,5.63,0.03,0.11,0.08,0.05,0.0,0.0,2.07,24.67,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.33,0.0,1.0,0.17,0.21,0.0,0.33,0.0,0.17,0.16,0.0,1.83
0,3,31,0,7.3,447,0.01,0.48,0.47,0.74,29,1,1,13.0,41.2,2024-08-31,90,20,0,0,0,0,3,0,789654,1,1,1,81.0,9,-19356,112136,131492,61,True,0,1,5,0.8261536955833435,90,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671853,0.0,0,0,1,0.8261536955833435,0.8497247695922852,0.0442462153732776,2,2,3,6.3,FWD,0.33,8.07,0.03,0.27,0.24,0.29,0.33,0.33,15.8,54.67,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.33,3.33,0.33,0.33,2.67,0.45,0.21,0.0,0.33,0.33,0.45,0.44,0.01,3.93
0,0,4,1,10.6,447,0.01,0.14,0.13,0.85,36,0,0,3.2,4.4,2024-09-14,80,12,0,0,0,0,4,0,703849,1,1,0,17.0,2,-97701,115639,213340,61,False,0,0,1,0.3199350535869598,84,Liverpool,Nottingham Forest,0,1,26635,2024,673790,0.0271556172519922,0,1,0,0.3199350535869598,0.4451414048671722,0.0980507582426071,2,5,4,4.7,FWD,0.67,11.6,0.04,0.32,0.28,0.58,0.33,0.33,17.27,81.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,4.0,0.33,0.33,3.0,0.55,0.22,0.0,0.67,0.33,0.55,0.59,0.05,5.5
0,2,32,0,0.3,447,0.0,0.79,0.79,0.87,42,2,1,5.1,33.4,2024-09-22,71,5,0,0,0,0,5,0,772333,1,2,2,17.0,8,58689,121060,62371,61,False,0,1,1,0.7611688375473022,76,Brighton,Nottingham Forest,2,2,26650,2024,676323,0.0,0,0,0,0.0,0.4491705894470215,0.4491705894470215,2,2,5,5.0,FWD,0.33,6.07,0.01,0.47,0.46,0.82,1.0,0.67,26.33,80.33,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,6.33,0.0,0.67,2.33,0.64,0.01,0.0,0.33,0.33,0.38,0.58,0.2,5.33
0,0,3,0,1.3,447,0.02,0.02,0.0,1.33,59,1,0,0.5,3.4,2024-09-28,90,9,0,0,0,0,6,0,1157052,1,1,0,0.0,2,368242,488821,120579,62,True,0,0,0,0.0,90,Nottingham Forest,Fulham,0,1,26653,2024,677782,0.0,0,0,0,0.0,0.0614547841250896,0.0614547841250896,2,2,6,4.0,FWD,0.33,4.07,0.01,0.32,0.31,1.02,1.0,0.33,13.73,80.33,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.67,4.0,0.0,0.33,0.67,0.36,0.01,0.0,0.33,0.0,0.11,0.32,0.2,4.57
