assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,34,0,26.8,541,0.2,1.13,0.93,1.24,20,5,1,11.0,39.6,2024-08-25,67,6,0,0,0,0,2,0,188122,1,6,2,44.0,6,-22455,11678,34133,65,True,0,1,4,1.2959703207015991,77,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668740,0.42815762758255,0,2,1,1.2959703207015991,1.2526766061782837,0.0,3,2,2,3.5,FWD,0.0,8.93,0.07,0.38,0.31,0.41,1.67,0.33,13.2,22.33,0.0,0.0,0.0,0.0,0.0,0.33,2.0,0.67,2.0,0.0,0.33,1.33,0.43,0.14,0.0,0.67,0.33,0.43,0.42,0.0,1.17
0,0,15,0,36.5,541,0.34,0.58,0.24,1.04,29,1,0,5.6,5.0,2024-08-31,90,16,0,0,0,0,3,0,282792,1,1,1,14.0,2,71541,104815,33274,65,False,0,0,4,0.1605574786663055,90,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671867,0.3538403213024139,0,2,0,0.1605574786663055,0.5007186532020569,0.3683682382106781,2,2,3,3.0,FWD,0.0,21.1,0.18,0.57,0.39,0.76,2.0,0.33,14.87,52.33,0.0,0.0,0.0,0.0,0.0,0.67,2.33,1.0,2.67,0.0,0.33,2.67,0.49,0.26,0.0,1.33,0.33,0.49,0.58,0.12,2.17
0,0,10,0,8.9,541,0.02,0.2,0.18,1.21,40,2,0,7.0,14.2,2024-09-15,90,15,0,0,0,0,4,0,242998,1,2,1,47.0,2,-40589,22327,62916,65,True,0,0,4,0.2640218436717987,90,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674619,0.0,0,0,0,0.2640218436717987,1.0282623767852783,0.764240562915802,3,2,4,2.3,FWD,0.0,24.07,0.19,0.64,0.45,1.16,2.67,0.33,19.6,82.33,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.33,3.33,0.0,0.33,4.0,0.57,0.26,0.0,1.33,0.33,0.57,0.93,0.38,2.93
0,3,34,0,52.7,541,0.22,0.25,0.03,1.73,41,3,1,10.9,43.6,2024-09-21,90,2,0,0,0,0,5,0,231215,1,1,3,13.0,8,-16511,15910,32421,65,False,1,1,1,0.0249607190489768,90,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675770,0.1431190073490142,0,3,1,0.0249607190489768,0.0826157331466674,0.0576550103724002,2,4,5,4.5,FWD,0.0,32.7,0.19,0.34,0.15,1.33,2.0,0.33,20.93,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,4.0,0.33,0.33,3.0,0.15,0.17,0.0,1.67,0.33,0.15,0.54,0.4,3.27
0,0,13,0,12.3,541,0.01,0.06,0.05,2.54,60,2,0,4.6,9.2,2024-09-28,90,12,0,0,0,0,6,0,227985,1,2,1,24.0,2,-6702,21355,28057,65,True,0,0,2,0.0488959476351738,90,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678056,0.1107324287295341,0,1,0,0.0488959476351738,0.1596283763647079,0.0,4,2,6,3.5,FWD,0.0,24.63,0.08,0.17,0.09,1.83,2.33,0.33,22.33,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.67,4.0,0.33,0.33,2.33,0.11,0.08,0.0,1.33,0.33,0.11,0.42,0.27,3.43
