assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,3,0,0.3,600,0.03,0.05,0.02,0.1,13,0,0,1.1,5.4,2024-08-24,1,14,0,0,0,0,2,0,1513,0,1,2,5.0,1,112,282,170,50,True,0,0,1,0.0492120124399662,1,Brighton,Manchester United,2,1,26612,2024,667706,0.0,0,0,0,0.0492120124399662,0.0512770973145961,0.0512770973145961,3,2,2,1.0,MID,0.0,0.1,0.01,0.02,0.01,0.03,0.0,0.0,1.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,0.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.33
0,0,8,0,15.9,600,0.06,0.48,0.42,1.87,21,1,0,5.5,14.8,2024-08-31,73,1,0,0,0,0,3,0,1776,0,1,1,24.0,2,-19,270,289,50,False,0,0,2,0.3777203261852264,74,Arsenal,Brighton,1,1,26622,2024,671536,0.038342211395502,0,1,0,0.3777203261852264,0.7983208894729614,0.3822583556175232,2,5,3,0.3,MID,0.0,5.4,0.03,0.18,0.15,0.66,0.33,0.0,6.73,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.0,0.0,0.0,1.0,0.14,0.01,0.0,0.33,0.0,0.14,0.28,0.14,0.43
0,0,12,1,24.8,600,0.3,0.38,0.08,0.35,33,0,0,5.9,13.4,2024-09-14,90,10,0,0,0,0,4,0,2545,1,0,0,21.0,3,399,748,349,50,True,0,0,2,0.0527373105287551,90,Brighton,Ipswich,0,0,26633,2024,673648,0.0626212507486343,0,1,0,0.0527373105287551,0.1537038385868072,0.1537038385868072,2,2,4,2.3,MID,0.33,13.67,0.13,0.3,0.17,0.77,0.33,0.0,11.2,54.67,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,2.0,0.0,0.0,1.67,0.16,0.03,0.0,0.67,0.0,0.16,0.33,0.2,1.2
0,0,6,0,1.8,600,0.01,0.03,0.02,0.31,54,0,0,1.3,4.8,2024-09-28,33,6,0,0,0,0,6,0,2823,0,2,4,6.0,1,-218,181,399,50,False,0,0,1,0.0465205796062946,25,Chelsea,Brighton,4,2,26657,2024,677922,0.0,0,0,0,0.0465205796062946,0.133209154009819,0.133209154009819,2,4,6,1.3,MID,0.33,8.87,0.1,0.14,0.03,0.22,0.0,0.0,6.07,41.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,1.33,0.0,0.0,1.0,0.03,0.02,0.0,0.33,0.0,0.03,0.1,0.1,1.2
