assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,-1,1,21.3,58,0.0,0.87,0.87,0.36,11,0,0,4.8,3.2,2024-08-24,64,1,0,0,0,0,2,0,3019969,1,2,0,23.0,2,-315018,47103,362121,90,True,0,0,2,0.8521124720573425,71,Aston Villa,Arsenal,0,2,26618,2024,668269,0.0833420678973198,0,2,0,0.8521124720573425,0.9354545474052428,0.0,5,4,2,1.0,FWD,0.33,7.1,0.0,0.29,0.29,0.12,0.0,0.0,1.07,21.33,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.67,0.0,0.0,0.67,0.28,0.03,0.0,0.67,0.0,0.28,0.31,0.0,0.33
1,0,12,1,12.1,58,0.01,0.72,0.71,0.17,26,0,0,5.5,17.2,2024-08-31,60,11,0,0,0,0,3,0,2885805,1,2,1,26.0,5,-213730,293860,507590,90,False,0,0,2,0.8392611145973206,63,Leicester,Aston Villa,1,2,26626,2024,671837,0.598831295967102,1,1,0,0.8392611145973206,0.4145389497280121,0.0470345839858055,3,2,3,3.5,FWD,0.67,11.13,0.0,0.53,0.53,0.18,0.0,0.0,6.8,41.33,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,2.33,0.0,0.0,1.33,0.56,0.23,0.33,1.0,0.0,0.56,0.45,0.02,1.5
0,3,52,0,15.3,58,0.07,1.25,1.18,0.81,31,2,2,17.1,66.2,2024-09-14,83,8,0,0,0,0,4,0,2322775,1,2,3,89.0,13,-580673,124732,705405,89,True,0,2,6,2.166302442550659,90,Aston Villa,Everton,3,2,26638,2024,673931,0.3708005249500274,0,2,2,2.166302442550659,2.1173629760742188,0.0231826826930046,2,4,4,5.5,FWD,0.67,16.23,0.03,0.95,0.92,0.45,0.67,0.67,28.87,69.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.33,6.67,0.0,0.67,3.33,1.29,0.35,0.33,1.67,0.67,1.29,1.16,0.02,3.33
0,0,30,0,2.8,58,0.06,0.4,0.34,0.51,41,1,1,6.9,32.0,2024-09-21,90,20,0,0,0,0,5,0,2964269,1,1,3,34.0,6,561027,655181,94154,90,True,0,1,3,0.8843710422515869,90,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675755,0.0,0,0,1,0.8843710422515869,0.8843710422515869,0.0,2,4,5,6.5,FWD,0.33,10.07,0.05,0.79,0.74,0.5,1.0,1.0,38.47,77.67,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.33,8.0,0.0,1.0,3.67,1.3,0.32,0.33,1.0,1.0,1.3,1.14,0.02,5.17
1,2,38,0,15.4,58,0.13,0.53,0.4,1.12,56,2,1,10.5,48.8,2024-09-29,83,10,0,0,0,0,6,0,3014156,1,2,2,41.0,11,42440,279522,237082,90,False,0,1,1,0.5488311648368835,87,Ipswich,Aston Villa,2,2,26659,2024,678385,0.0825225412845611,1,1,1,0.5488311648368835,0.7071560025215149,0.0758023187518119,3,2,6,10.5,FWD,0.0,11.17,0.09,0.73,0.64,0.81,1.67,1.33,49.0,85.33,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.67,10.0,0.0,1.33,3.33,1.2,0.15,0.33,1.0,1.33,1.2,1.24,0.03,7.5
