assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,11.0,0.0,3.2,553.0,0.02,0.02,0.0,1.24,2.0,2.0,0.0,1.2,8.6,2024-08-17,83.0,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11511.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,50.0,False,1.0,0.0,0.0,0.0,85.0,Arsenal,Wolverhampton Wanderers,2.0,0.0,26604.0,2024.0,666314.0,0.0,0.0,0.0,0.0,0.0,0.2483385056257248,0.2483385056257248,2.0,5.0,1.0,0.6,MID
0.0,0.0,7.0,0.0,6.2,553.0,0.02,0.04,0.02,1.56,20.0,6.0,0.0,2.0,13.2,2024-08-25,90.0,False,6.0,0.0,0.0,0.0,0.0,2.0,0.0,12488.0,1.0,6.0,2.0,1.0,2.0,-750.0,765.0,1515.0,50.0,True,0.0,0.0,1.0,0.0159965883940458,90.0,Wolverhampton Wanderers,Chelsea,2.0,6.0,26619.0,2024.0,668737.0,0.0,0.0,0.0,0.0,0.0159965883940458,0.657800555229187,0.657800555229187,4.0,2.0,2.0,1.5,MID
0.0,0.0,-3.0,0.0,3.5,553.0,0.01,0.07,0.06,0.36,29.0,1.0,0.0,0.8,3.4,2024-08-31,59.0,False,16.0,0.0,0.0,0.0,0.0,3.0,0.0,12372.0,1.0,1.0,1.0,1.0,0.0,-851.0,956.0,1807.0,50.0,False,1.0,0.0,1.0,0.0240380223840475,62.0,Nottingham Forest,Wolverhampton Wanderers,1.0,1.0,26627.0,2024.0,671864.0,0.0,0.0,0.0,0.0,0.0240380223840475,0.0486552864313125,0.024617264047265,2.0,3.0,3.0,1.0,MID
0.0,0.0,17.0,0.0,11.0,553.0,0.02,0.07,0.05,1.21,40.0,2.0,0.0,2.9,12.4,2024-09-15,90.0,False,15.0,0.0,0.0,0.0,0.0,4.0,0.0,11830.0,1.0,2.0,1.0,6.0,2.0,-1100.0,1051.0,2151.0,49.0,True,0.0,0.0,1.0,0.0358638763427734,90.0,Wolverhampton Wanderers,Newcastle United,1.0,2.0,26641.0,2024.0,674617.0,0.0,0.0,0.0,0.0,0.0358638763427734,0.906694233417511,0.906694233417511,3.0,2.0,4.0,0.7,MID
0.0,0.0,10.0,0.0,8.9,553.0,0.02,0.02,0.0,0.58,41.0,1.0,0.0,2.3,14.0,2024-09-21,81.0,False,2.0,0.0,0.0,0.0,0.0,5.0,0.0,12121.0,1.0,1.0,3.0,0.0,1.0,-14.0,987.0,1001.0,49.0,False,1.0,0.0,0.0,0.0,88.0,Aston Villa,Wolverhampton Wanderers,3.0,1.0,26647.0,2024.0,675768.0,0.0,0.0,0.0,0.0,0.0,0.117926575243473,0.117926575243473,2.0,4.0,5.0,1.2,MID
0.0,0.0,8.0,0.0,3.7,553.0,0.01,0.01,0.0,2.54,60.0,2.0,0.0,0.8,1.8,2024-09-28,90.0,False,12.0,0.0,0.0,0.0,0.0,6.0,0.0,11468.0,1.0,2.0,1.0,2.0,2.0,-796.0,507.0,1303.0,49.0,True,0.0,0.0,0.0,0.0,90.0,Wolverhampton Wanderers,Liverpool,1.0,2.0,26658.0,2024.0,678057.0,0.0,0.0,0.0,0.0,0.0,0.0862123593688011,0.0862123593688011,5.0,2.0,6.0,1.2,MID
0.0,0.0,14.0,0.0,15.9,553.0,0.03,0.05,0.02,3.15,63.0,4.0,0.0,2.7,7.4,2024-10-05,76.0,False,4.0,0.0,0.0,0.0,0.0,7.0,0.0,11569.0,1.0,3.0,5.0,4.0,2.0,-131.0,803.0,934.0,49.0,False,0.0,0.0,1.0,0.0193669646978378,81.0,Brentford,Wolverhampton Wanderers,5.0,3.0,26667.0,2024.0,679567.0,0.035907432436943,0.0,1.0,0.0,0.0193669646978378,0.0928790867328643,0.0376046895980834,2.0,4.0,7.0,1.8,MID
0.0,0.0,7.0,0.0,0.6,553.0,0.0,0.0,0.0,1.3,80.0,1.0,0.0,1.5,12.6,2024-10-20,89.0,False,13.0,0.0,0.0,0.0,0.0,8.0,0.0,11038.0,1.0,2.0,1.0,2.0,1.0,-639.0,299.0,938.0,49.0,True,1.0,0.0,0.0,0.0,90.0,Wolverhampton Wanderers,Manchester City,1.0,2.0,26681.0,2024.0,681881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,0.7,MID
0.0,0.0,6.0,0.0,12.0,553.0,0.01,0.04,0.03,1.31,84.0,2.0,0.0,2.4,6.8,2024-10-26,90.0,False,5.0,0.0,0.0,0.0,0.0,9.0,0.0,11218.0,1.0,2.0,2.0,5.0,2.0,45.0,535.0,490.0,49.0,False,0.0,0.0,1.0,0.0609717704355716,90.0,Brighton,Wolverhampton Wanderers,2.0,2.0,26686.0,2024.0,683046.0,0.1588069200515747,0.0,1.0,0.0,0.0609717704355716,0.219778686761856,0.0,2.0,3.0,9.0,1.8,MID
0.0,3.0,41.0,0.0,33.6,553.0,0.02,0.23,0.21,2.51,100.0,2.0,1.0,10.4,53.4,2024-11-02,90.0,False,7.0,0.0,0.0,0.0,0.0,10.0,0.0,11467.0,1.0,2.0,2.0,17.0,10.0,95.0,885.0,790.0,49.0,True,0.0,1.0,1.0,0.3342380821704864,90.0,Wolverhampton Wanderers,Crystal Palace,2.0,2.0,26701.0,2024.0,685240.0,0.1010411754250526,0.0,3.0,1.0,0.3342380821704864,0.8861371874809265,0.5518991351127625,3.0,2.0,10.0,4.3,MID
