assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,7,1,9.3,329,0.06,0.16,0.1,0.45,4,0,0,1.9,2.6,2024-08-17,90,10,0,0,0,0,1,0,222591,1,2,0,7.0,3,0,0,0,65,False,0,0,2,0.0700981989502906,90,Ipswich,Liverpool,0,2,26603,2024,666253,0.0,0,0,0,0.0700981989502906,1.2202929258346558,1.1668593883514404,5,2,1,3.3,MID
0,0,13,1,26.1,329,0.11,0.11,0.0,0.36,16,0,0,4.6,12.2,2024-08-25,90,4,0,0,0,0,2,0,243753,1,0,2,8.0,3,-17221,16312,33533,65,True,0,0,0,0.0,90,Liverpool,Brentford,2,0,26621,2024,668952,0.1384400576353073,0,2,0,0.0,1.4610620737075806,1.3647863864898682,2,5,2,3.5,MID
0,0,16,1,13.8,329,0.04,0.04,0.0,1.36,27,0,0,3.3,19.4,2024-09-01,90,14,0,0,0,0,3,0,220927,1,3,0,0.0,3,-33248,10485,43733,64,False,0,0,0,0.0,90,Manchester United,Liverpool,0,3,26631,2024,672632,0.0539363883435726,0,1,0,0.0,0.7747349739074707,0.7207985520362854,5,3,3,3.5,MID
0,0,17,0,14.1,329,0.6,0.66,0.06,0.14,36,0,0,3.7,6.2,2024-09-14,59,16,0,0,0,0,4,0,207439,1,1,0,17.0,1,-22012,15373,37385,64,True,0,0,1,0.1001036688685417,64,Liverpool,Nottingham Forest,0,1,26635,2024,673769,0.5710114240646362,0,1,0,0.1001036688685417,0.8877624273300171,0.3167510032653808,3,5,4,3.0,MID
0,0,26,1,29.2,329,0.23,0.26,0.03,1.08,46,0,0,7.4,28.0,2024-09-21,90,3,0,0,0,0,5,0,200083,1,0,3,17.0,3,-11676,6631,18307,64,True,0,0,1,0.0303195789456367,90,Liverpool,Bournemouth,3,0,26645,2024,675688,0.2106463462114334,0,2,0,0.0303195789456367,1.5313953161239624,1.44744873046875,2,5,5,3.0,MID
0,0,12,0,17.3,329,0.2,0.2,0.0,0.63,60,1,0,3.5,11.2,2024-09-28,90,20,0,0,0,0,6,0,191067,1,2,1,6.0,2,-12533,8218,20751,63,False,0,0,0,0.0,90,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678069,0.0478782132267952,0,1,0,0.0,0.6920484304428101,0.6920484304428101,5,2,6,2.7,MID
0,0,0,0,14.7,329,0.04,0.04,0.0,0.08,66,0,0,1.9,2.2,2024-10-05,45,7,0,0,0,0,7,0,183513,1,1,0,2.0,0,-10742,6418,17160,63,False,1,0,0,0.0,48,Crystal Palace,Liverpool,0,1,26662,2024,679191,0.0264259837567806,0,1,0,0.0,0.5080268383026123,0.4816008508205414,5,2,7,2.0,MID
0,0,-1,0,0.8,329,0.01,0.01,0.0,0.21,74,0,0,0.4,3.0,2024-10-20,9,6,0,0,0,0,8,0,168417,0,1,2,0.0,0,-17440,3692,21132,63,True,1,0,0,0.0,1,Liverpool,Chelsea,2,1,26679,2024,682194,0.0,0,0,0,0.0,0.0766523703932762,0.0766523703932762,4,5,8,0.9,MID
0,0,7,0,11.5,329,0.04,0.12,0.08,0.8,81,2,0,4.0,7.6,2024-10-27,62,1,0,0,0,0,9,0,161508,1,2,2,21.0,1,-7997,2142,10139,62,False,1,0,1,0.0751345083117485,67,Arsenal,Liverpool,2,2,26691,2024,683715,0.0627282634377479,0,1,0,0.0751345083117485,0.1378627717494964,0.0751345083117485,5,5,9,0.8,MID
0,0,5,0,1.8,329,0.01,0.06,0.05,0.77,94,1,0,2.9,8.4,2024-11-02,65,5,0,0,0,0,10,0,161677,1,1,2,19.0,1,-1505,6638,8143,62,True,1,0,1,0.063719667494297,68,Liverpool,Brighton,2,1,26696,2024,685026,0.0,0,0,0,0.063719667494297,0.1127309128642082,0.0490112490952014,2,5,10,1.7,MID
0,0,16,1,20.0,329,0.08,0.08,0.0,1.33,105,0,0,2.8,7.8,2024-11-09,86,2,0,0,0,0,11,0,157967,1,0,2,0.0,3,-4625,3266,7891,62,True,0,0,0,0.0,90,Liverpool,Aston Villa,2,0,26707,2024,686974,0.0190092530101537,0,1,0,0.0,0.1173526346683502,0.1173526346683502,3,5,11,,
