assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,4.0,0.0,3.8,623.0,0.01,0.01,0.0,0.19,18.0,0.0,0.0,0.9,1.4,2024-08-24,14.0,False,16.0,0.0,0.0,0.0,0.0,2.0,0.0,199.0,0.0,1.0,0.0,4.0,1.0,90.0,93.0,3.0,50.0,True,0.0,0.0,0.0,0.0,13.0,Southampton,Nottingham Forest,0.0,1.0,26616.0,2024.0,668049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.1,MID
0.0,0.0,9.0,0.0,6.5,623.0,0.06,0.24,0.18,1.81,22.0,2.0,0.0,5.6,8.4,2024-08-31,45.0,False,4.0,0.0,0.0,0.0,0.0,3.0,0.0,736.0,0.0,1.0,3.0,41.0,1.0,256.0,342.0,86.0,50.0,False,0.0,0.0,2.0,0.3649300634860992,41.0,Brentford,Southampton,3.0,1.0,26623.0,2024.0,671747.0,0.0,0.0,0.0,0.0,0.3649300634860992,0.4555194675922394,0.0905893892049789,2.0,4.0,3.0,0.5,MID
0.0,0.0,7.0,0.0,3.5,623.0,0.03,0.03,0.0,1.9,38.0,2.0,0.0,1.2,4.2,2024-09-14,80.0,False,14.0,0.0,0.0,0.0,0.0,4.0,0.0,1031.0,1.0,3.0,0.0,4.0,2.0,73.0,229.0,156.0,50.0,True,0.0,0.0,0.0,0.0,85.0,Southampton,Manchester United,0.0,3.0,26632.0,2024.0,673364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0.8,MID
0.0,0.0,17.0,1.0,43.0,623.0,0.23,0.33,0.1,1.14,48.0,0.0,0.0,6.4,12.8,2024-09-21,90.0,False,10.0,0.0,0.0,0.0,0.0,5.0,0.0,1295.0,1.0,1.0,1.0,8.0,3.0,120.0,232.0,112.0,50.0,True,0.0,0.0,1.0,0.1315326541662216,90.0,Southampton,Ipswich,1.0,1.0,26643.0,2024.0,675632.0,0.885139524936676,0.0,3.0,0.0,0.1315326541662216,1.4956210851669312,0.4789488911628723,2.0,2.0,5.0,1.8,MID
0.0,0.0,6.0,0.0,12.8,623.0,0.0,0.0,0.0,1.29,52.0,3.0,0.0,2.5,10.4,2024-09-30,69.0,False,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1395.0,1.0,1.0,3.0,2.0,1.0,-17.0,128.0,145.0,50.0,False,1.0,0.0,0.0,0.0,73.0,Bournemouth,Southampton,3.0,1.0,26661.0,2024.0,678945.0,0.0373921692371368,0.0,1.0,0.0,0.0,0.1676461100578308,0.1302539408206939,2.0,3.0,6.0,1.5,MID
1.0,0.0,19.0,0.0,11.8,623.0,0.0,0.17,0.17,2.13,61.0,2.0,0.0,4.2,26.6,2024-10-05,73.0,False,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1425.0,1.0,1.0,3.0,4.0,5.0,-58.0,118.0,176.0,50.0,False,0.0,0.0,1.0,0.4313855469226837,77.0,Arsenal,Southampton,3.0,1.0,26666.0,2024.0,679539.0,0.1151286140084266,1.0,1.0,0.0,0.4313855469226837,0.6919888854026794,0.1454747468233108,2.0,5.0,7.0,1.3,MID
0.0,0.0,8.0,0.0,4.7,623.0,0.02,0.02,0.0,1.95,78.0,1.0,0.0,1.9,12.4,2024-10-19,67.0,False,11.0,0.0,0.0,0.0,0.0,8.0,0.0,2003.0,1.0,3.0,2.0,2.0,1.0,372.0,542.0,170.0,50.0,True,1.0,0.0,0.0,0.0,70.0,Southampton,Leicester,2.0,3.0,26678.0,2024.0,681388.0,0.0,0.0,0.0,0.0,0.0,0.5896167755126953,0.5896167755126953,2.0,2.0,8.0,1.8,MID
0.0,0.0,13.0,0.0,18.4,623.0,0.05,0.05,0.0,2.95,89.0,1.0,0.0,3.9,18.2,2024-10-26,90.0,False,13.0,0.0,0.0,0.0,0.0,9.0,0.0,1919.0,1.0,0.0,1.0,2.0,2.0,-124.0,138.0,262.0,50.0,False,0.0,0.0,0.0,0.0,90.0,Manchester City,Southampton,1.0,0.0,26683.0,2024.0,682952.0,0.0608166456222534,0.0,1.0,0.0,0.0,0.3150709867477417,0.3150709867477417,2.0,4.0,9.0,0.7,MID
0.0,0.0,12.0,1.0,4.2,623.0,0.03,0.03,0.0,1.56,98.0,0.0,0.0,2.2,13.8,2024-11-02,90.0,False,8.0,0.0,0.0,0.0,0.0,10.0,0.0,2195.0,1.0,0.0,1.0,4.0,2.0,167.0,401.0,234.0,50.0,True,1.0,0.0,0.0,0.0,90.0,Southampton,Everton,1.0,0.0,26699.0,2024.0,685121.0,0.0,0.0,0.0,0.0,0.0,0.1675975620746612,0.1675975620746612,2.0,2.0,10.0,1.2,MID
0.0,0.0,15.0,0.0,36.8,623.0,0.17,0.39,0.22,1.26,110.0,2.0,0.0,5.7,12.2,2024-11-09,90.0,False,20.0,0.0,0.0,0.0,0.0,11.0,0.0,3136.0,1.0,0.0,2.0,8.0,2.0,793.0,1051.0,258.0,50.0,False,0.0,0.0,3.0,0.1910357475280761,90.0,Wolverhampton Wanderers,Southampton,2.0,0.0,26711.0,2024.0,686685.0,0.4635378122329712,0.0,2.0,0.0,0.1910357475280761,0.2025081366300583,0.0,2.0,2.0,11.0,1.5,MID
0.0,0.0,28.0,0.0,21.9,623.0,0.07,0.29,0.22,3.15,120.0,3.0,1.0,9.2,45.6,2024-11-24,90.0,False,12.0,0.0,0.0,0.0,0.0,12.0,0.0,2625.0,1.0,3.0,2.0,24.0,7.0,-587.0,173.0,760.0,50.0,True,0.0,1.0,2.0,0.473122239112854,90.0,Southampton,Liverpool,2.0,3.0,26721.0,2024.0,689133.0,0.0705176666378974,0.0,1.0,1.0,0.473122239112854,0.473122239112854,0.0,5.0,2.0,12.0,2.2,MID
0.0,0.0,13.0,0.0,17.3,623.0,0.28,0.36,0.08,1.68,122.0,1.0,0.0,3.2,7.8,2024-11-29,90.0,False,5.0,0.0,0.0,0.0,0.0,13.0,0.0,4011.0,1.0,1.0,1.0,7.0,2.0,1000.0,1338.0,338.0,50.0,False,0.0,0.0,2.0,0.0689581856131553,90.0,Brighton,Southampton,1.0,1.0,26723.0,2024.0,689636.0,0.0,0.0,0.0,0.0,0.0689581856131553,0.1886304020881652,0.1576921194791793,2.0,3.0,13.0,2.7,MID
0.0,0.0,17.0,0.0,2.6,623.0,0.04,0.57,0.53,5.11,140.0,4.0,0.0,6.8,15.6,2024-12-04,78.0,False,6.0,0.0,0.0,0.0,0.0,14.0,0.0,4383.0,1.0,5.0,1.0,50.0,2.0,360.0,1177.0,817.0,50.0,True,0.0,0.0,2.0,0.724107027053833,84.0,Southampton,Chelsea,1.0,5.0,26741.0,2024.0,691453.0,0.0,0.0,0.0,0.0,0.724107027053833,1.0508568286895752,0.6804705262184143,4.0,2.0,14.0,2.2,MID
0.0,0.0,11.0,0.0,11.3,623.0,0.07,0.14,0.07,2.29,141.0,1.0,0.0,2.3,4.2,2024-12-07,90.0,False,2.0,0.0,0.0,0.0,0.0,15.0,0.0,4506.0,1.0,0.0,1.0,7.0,2.0,11.0,904.0,893.0,50.0,False,0.0,0.0,1.0,0.1001076474785804,90.0,Aston Villa,Southampton,1.0,0.0,26742.0,2024.0,692182.0,0.0,0.0,0.0,0.0,0.1001076474785804,0.1431475281715393,0.0430398844182491,2.0,4.0,15.0,2.7,MID
0.0,0.0,5.0,0.0,15.6,623.0,0.03,0.03,0.0,2.44,159.0,5.0,0.0,2.4,4.4,2024-12-15,90.0,False,18.0,0.0,0.0,0.0,0.0,16.0,0.0,3719.0,1.0,5.0,0.0,4.0,1.0,-864.0,228.0,1092.0,50.0,True,1.0,0.0,0.0,0.0,90.0,Southampton,Tottenham,0.0,5.0,26759.0,2024.0,694623.0,0.011917664669454,0.0,1.0,0.0,0.0,0.0796052888035774,0.0676876232028007,4.0,2.0,16.0,1.8,MID
