assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,xP,position
0,0,24,0,1.3,415,0.01,0.11,0.1,0.99,40,1,1,5.8,46.8,2024-09-15,90,20,0,0,0,0,4,0,93539,1,2,1,10.0,8,-3766,7806,11572,54,False,0,1,2,0.0608598627150058,90,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674628,0.0,0,0,1,0.0608598627150058,0.4509510993957519,0.4327243268489837,3,2,2.0,DEF
0,0,5,0,7.7,415,0.2,0.6,0.4,2.29,44,3,0,3.2,12.6,2024-09-21,90,9,0,0,0,0,5,0,121229,1,1,3,12.0,1,21194,25514,4320,54,False,0,0,2,0.0667714923620224,90,Fulham,Newcastle United,3,1,26646,2024,675731,0.0,0,0,0,0.0667714923620224,0.1786822825670242,0.1227369382977485,3,3,2.7,DEF
0,0,3,0,0.9,415,0.04,0.12,0.08,0.91,58,1,0,2.1,14.4,2024-09-28,90,13,0,0,0,0,6,0,108569,1,1,1,6.0,1,-12231,4965,17196,54,True,1,0,1,0.0694485679268837,90,Newcastle United,Manchester City,1,1,26652,2024,677434,0.0,0,0,0,0.0694485679268837,0.1723602563142776,0.1029116958379745,5,4,2.0,DEF
