assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,6.0,0.0,26.7,560.0,0.16,0.2,0.04,0.11,9.0,1.0,0.0,4.3,7.4,2024-08-18,32.0,False,13.0,0.0,0.0,0.0,0.0,1.0,0.0,100779.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,65.0,True,0.0,0.0,1.0,0.0504299737513065,25.0,Chelsea,Manchester City,0.0,2.0,26610.0,2024.0,667022.0,0.1282843202352523,0.0,2.0,0.0,0.0504299737513065,0.1787142902612686,0.108023852109909,4.0,4.0,1.0,1.3,MID
1.0,0.0,12.0,0.0,13.3,560.0,0.05,0.05,0.0,0.17,20.0,0.0,0.0,4.1,21.6,2024-08-25,45.0,False,20.0,0.0,0.0,0.0,0.0,2.0,0.0,106044.0,0.0,6.0,2.0,6.0,4.0,-7679.0,11121.0,18800.0,65.0,False,0.0,0.0,0.0,0.0,35.0,Wolverhampton Wanderers,Chelsea,2.0,6.0,26619.0,2024.0,668760.0,0.1129174754023552,1.0,1.0,0.0,0.0,0.2497705072164535,0.2497705072164535,4.0,2.0,2.0,2.5,MID
0.0,0.0,-1.0,0.0,2.2,560.0,0.02,0.02,0.0,0.13,23.0,1.0,0.0,0.1,0.0,2024-09-01,57.0,False,7.0,0.0,0.0,0.0,0.0,3.0,0.0,107645.0,1.0,1.0,1.0,0.0,0.0,-3643.0,20308.0,23951.0,65.0,True,1.0,0.0,0.0,0.0,61.0,Chelsea,Crystal Palace,1.0,1.0,26630.0,2024.0,672436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.7,MID
0.0,0.0,5.0,0.0,16.3,560.0,0.03,0.03,0.0,1.29,32.0,0.0,0.0,2.1,4.4,2024-09-14,45.0,False,3.0,0.0,0.0,0.0,0.0,4.0,0.0,93108.0,1.0,1.0,0.0,0.0,1.0,-17382.0,10810.0,28192.0,64.0,False,0.0,0.0,0.0,0.0,47.0,Bournemouth,Chelsea,0.0,1.0,26639.0,2024.0,674171.0,0.0542932525277137,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,1.5,MID
0.0,0.0,4.0,0.0,2.8,560.0,0.02,0.02,0.0,0.35,50.0,0.0,0.0,1.7,8.4,2024-09-21,33.0,False,19.0,0.0,0.0,0.0,0.0,5.0,0.0,80588.0,0.0,3.0,0.0,6.0,1.0,-13757.0,3013.0,16770.0,64.0,False,0.0,0.0,0.0,0.0,31.0,West Ham,Chelsea,0.0,3.0,26642.0,2024.0,675304.0,0.0,0.0,0.0,0.0,0.0,1.0722980499267578,1.0722980499267578,4.0,2.0,5.0,1.5,MID
0.0,0.0,5.0,0.0,10.3,560.0,0.09,0.16,0.07,0.22,54.0,0.0,0.0,2.4,4.2,2024-09-28,27.0,False,5.0,0.0,0.0,0.0,0.0,6.0,0.0,65681.0,0.0,2.0,4.0,9.0,1.0,-15530.0,1533.0,17063.0,63.0,True,0.0,0.0,1.0,0.0729085430502891,19.0,Chelsea,Brighton,4.0,2.0,26657.0,2024.0,677906.0,0.1305889040231704,0.0,1.0,0.0,0.0729085430502891,0.203497439622879,0.0,3.0,4.0,6.0,0.8,MID
0.0,0.0,5.0,0.0,19.5,560.0,0.04,0.04,0.0,0.25,65.0,0.0,0.0,2.4,4.0,2024-10-06,1.0,False,16.0,0.0,0.0,0.0,0.0,7.0,0.0,56899.0,0.0,1.0,1.0,0.0,0.0,-9456.0,1341.0,10797.0,62.0,True,1.0,0.0,0.0,0.0,1.0,Chelsea,Nottingham Forest,1.0,1.0,26668.0,2024.0,680147.0,0.1988500207662582,0.0,1.0,0.0,0.0,0.1988500207662582,0.1988500207662582,3.0,4.0,7.0,0.8,MID
0.0,0.0,6.0,0.0,40.9,560.0,0.09,0.11,0.02,0.78,74.0,1.0,0.0,5.1,8.6,2024-10-20,45.0,False,12.0,0.0,0.0,0.0,0.0,8.0,0.0,51808.0,0.0,1.0,2.0,1.0,1.0,-5707.0,727.0,6434.0,62.0,False,0.0,0.0,1.0,0.0166405644267797,36.0,Liverpool,Chelsea,2.0,1.0,26679.0,2024.0,682212.0,0.1603420376777649,0.0,3.0,0.0,0.0166405644267797,0.1769825965166092,0.0362117514014244,4.0,5.0,8.0,0.2,MID
1.0,1.0,28.0,0.0,42.8,560.0,0.27,0.45,0.18,1.92,85.0,1.0,0.0,11.0,31.4,2024-10-27,90.0,False,15.0,0.0,0.0,0.0,0.0,9.0,0.0,51705.0,1.0,1.0,2.0,36.0,5.0,-586.0,1963.0,2549.0,62.0,True,1.0,0.0,5.0,0.2504968047142029,90.0,Chelsea,Newcastle United,2.0,1.0,26688.0,2024.0,683516.0,0.7113414406776428,1.0,3.0,0.0,0.2504968047142029,0.962264597415924,0.1263037919998169,3.0,4.0,9.0,2.5,MID
0.0,0.0,10.0,0.0,2.4,560.0,0.01,0.07,0.06,1.98,95.0,1.0,0.0,2.7,8.0,2024-11-03,90.0,False,14.0,0.0,0.0,0.0,0.0,10.0,0.0,70829.0,1.0,1.0,1.0,17.0,2.0,17494.0,20581.0,3087.0,62.0,False,0.0,0.0,2.0,0.0550673156976699,90.0,Manchester United,Chelsea,1.0,1.0,26697.0,2024.0,685878.0,0.0,0.0,0.0,0.0,0.0550673156976699,0.1065343469381332,0.0514670312404632,4.0,3.0,10.0,3.2,MID
