assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,0,0,11.4,372,0.06,0.77,0.71,0.76,13,1,0,3.1,3.4,2024-08-24,25,5,0,0,0,0,2,0,1644956,0,1,2,16.0,1,-41578,95475,137053,65,False,0,0,1,0.5201026797294617,24,Brighton,Manchester United,2,1,26612,2024,667719,0.017420707270503,0,1,0,0.5201026797294617,0.5375233888626099,0.017420707270503,3,2,2,2.5,MID
0,0,9,0,15.8,372,0.1,0.1,0.0,1.3,27,3,0,2.8,6.0,2024-09-01,68,12,0,0,0,0,3,0,1260746,1,3,0,6.0,2,-401495,47545,449040,64,True,0,0,0,0.0,74,Manchester United,Liverpool,0,3,26631,2024,672619,0.0797931998968124,0,1,0,0.0,0.0797931998968124,0.0,4,3,3,1.8,MID
0,0,22,0,11.1,372,0.04,0.35,0.31,0.0,38,0,1,6.9,34.0,2024-09-14,17,17,0,0,0,0,4,0,1093417,0,3,0,24.0,6,-196534,58722,255256,64,False,0,1,2,0.6120920777320862,13,Southampton,Manchester United,0,3,26632,2024,673383,0.0263318493962287,0,1,1,0.6120920777320862,0.6384239196777344,0.0,3,2,4,3.5,MID
0,0,-4,1,2.7,372,0.01,0.48,0.47,1.01,43,0,0,4.4,5.6,2024-09-21,90,7,0,0,0,0,5,0,1117258,1,0,0,36.0,2,5617,73760,68143,64,False,1,0,3,0.657313346862793,90,Crystal Palace,Manchester United,0,0,26649,2024,675951,0.0,0,0,0,0.657313346862793,0.9666113257408142,0.3092979490756988,3,3,5,3.3,MID
0,0,5,0,20.0,372,0.07,0.21,0.14,4.59,57,3,0,4.5,5.4,2024-09-29,90,18,0,0,0,0,6,0,1023589,1,3,0,20.0,2,-98255,45534,143789,63,True,0,0,3,0.1455353200435638,90,Manchester United,Tottenham,0,3,26660,2024,678649,0.0515466295182704,0,1,0,0.1455353200435638,0.3638924956321716,0.2183571755886078,3,3,6,3.0,MID
