assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
2,3,65,0,33.7,28,0.05,1.96,1.91,0.33,11,2,2,23.7,98.6,2022-08-13,83,10,0,0,0,0,2,0,6211795,1,2,4,105.0,19,-265945,105825,371770,80,True,0,2,7,1.855739951133728,88,Arsenal,Leicester,4,2,18217,2022,540654,0.5772899985313416,2,3,2,1.855739951133728,1.8763699531555176,0.0208778008818626,3,4,2,11.0,FWD,0.0,11.23,0.02,0.65,0.64,0.11,0.67,0.67,32.87,27.67,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,6.33,0.0,0.67,2.33,0.62,0.19,0.67,1.0,0.67,0.62,0.63,0.01,3.67
1,0,15,1,23.1,28,0.03,0.09,0.06,0.28,21,0,0,10.3,25.6,2022-08-20,90,3,0,0,0,0,3,0,7496318,1,3,0,54.0,4,853585,882488,28903,81,False,1,0,2,0.1276959925889969,90,Bournemouth,Arsenal,0,3,18227,2022,542572,0.3799070119857788,1,2,0,0.1276959925889969,0.7257329821586609,0.3458259999752044,4,2,3,9.3,FWD,0.33,18.93,0.03,0.68,0.66,0.2,0.67,0.67,41.4,57.67,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.33,7.67,0.33,0.67,3.0,0.66,0.32,1.0,1.67,0.67,0.66,0.87,0.12,6.77
0,0,0,0,27.6,28,0.14,0.45,0.31,0.74,31,1,0,11.5,8.2,2022-08-27,88,9,0,0,0,0,4,0,7962228,1,1,2,79.0,1,237640,268237,30597,82,True,1,0,4,0.2634910047054291,90,Arsenal,Fulham,2,1,18238,2022,544653,0.1841479986906051,0,2,0,0.2634910047054291,0.3736140131950378,0.0321587994694709,2,4,4,7.5,FWD,0.33,28.13,0.07,0.83,0.76,0.45,1.0,0.67,44.13,87.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,0.67,0.67,4.33,0.75,0.38,1.0,2.33,0.67,0.75,0.99,0.13,9.27
0,0,19,0,12.3,28,0.09,0.99,0.9,0.45,41,1,1,14.2,37.8,2022-08-31,87,2,0,0,0,0,5,0,8026017,1,1,2,92.0,6,-70519,106179,176698,82,True,0,1,4,1.2875100374221802,90,Arsenal,Aston Villa,2,1,18247,2022,546263,0.0915329977869987,0,1,1,1.2875100374221802,0.739791989326477,0.0915329977869987,2,4,5,6.9,FWD,0.33,21.0,0.09,0.51,0.42,0.49,0.67,0.33,23.87,88.33,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.33,3.67,0.67,0.33,3.33,0.56,0.22,0.33,1.67,0.33,0.56,0.61,0.16,7.9
0,0,5,0,54.7,28,0.35,0.41,0.06,1.55,56,3,0,8.8,11.0,2022-09-04,90,14,0,0,0,0,6,0,8025951,1,1,3,22.0,1,-129699,102712,232411,82,False,1,0,2,0.0491003990173339,90,Manchester United,Arsenal,3,1,18261,2022,548114,0.4023370146751404,0,5,0,0.0491003990173339,0.6405209898948669,0.3403950035572052,4,4,6,6.2,FWD,0.0,31.53,0.19,0.62,0.42,0.91,1.67,0.33,19.0,88.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.33,2.67,0.67,0.33,3.33,0.53,0.23,0.0,2.67,0.33,0.53,0.58,0.15,6.87
0,1,30,1,4.5,28,0.03,0.86,0.83,0.53,72,0,1,12.5,43.6,2022-09-18,90,4,0,0,0,0,8,0,7527911,1,3,0,77.0,6,-339612,38460,378072,81,False,1,1,4,0.833499014377594,90,Brentford,Arsenal,0,3,18280,2022,551062,0.0,0,0,1,0.833499014377594,1.0419399738311768,0.2084369957447052,4,3,8,4.0,FWD,0.33,19.73,0.13,0.42,0.3,0.69,1.0,0.33,18.2,60.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.0,2.33,0.67,0.33,2.0,0.29,0.13,0.0,1.67,0.33,0.29,0.56,0.18,3.4
0,2,29,0,12.9,28,0.03,1.45,1.42,1.57,81,1,1,14.8,46.2,2022-10-01,79,18,0,0,0,0,9,0,7253158,1,1,3,89.0,8,-429297,67507,496804,80,True,0,1,4,1.4708600044250488,82,Arsenal,Tottenham,3,1,18282,2022,551999,0.0919592976570129,0,1,1,1.4708600044250488,1.6820900440216064,0.4622029960155487,3,4,9,5.0,FWD,0.33,5.8,0.02,0.77,0.75,0.7,0.33,0.67,29.93,56.33,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.0,4.67,0.33,0.67,2.67,0.77,0.03,0.0,0.33,0.67,0.77,0.91,0.22,3.0
1,0,12,0,2.6,28,0.06,0.35,0.29,1.01,91,2,0,6.2,7.4,2022-10-09,90,12,0,0,0,0,10,0,7286361,1,2,3,52.0,5,-21252,169445,190697,80,True,0,0,2,0.2236669957637787,90,Arsenal,Liverpool,3,2,18292,2022,555087,0.0,0,0,0,0.2236669957637787,1.1482000350952148,0.9245349764823914,4,4,10,5.8,FWD,0.33,6.67,0.04,0.89,0.85,1.04,1.0,0.67,32.4,86.33,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.33,0.33,0.67,3.33,0.84,0.03,0.0,0.33,0.67,0.84,1.29,0.53,4.93
0,0,2,1,23.5,28,0.02,0.09,0.07,1.72,104,0,0,4.1,6.0,2022-10-16,81,11,0,0,0,0,11,0,7324047,1,1,0,11.0,2,2100,133178,131078,80,False,0,0,1,0.3768979907035827,83,Leeds,Arsenal,0,1,18305,2022,556782,0.1068499982357025,0,2,0,0.3768979907035827,0.4837479889392853,0.0578924007713794,4,2,11,5.7,FWD,0.33,13.0,0.04,0.63,0.59,1.43,1.0,0.33,19.87,83.33,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,5.0,0.0,0.33,2.33,0.69,0.07,0.0,1.0,0.33,0.69,1.1,0.48,5.5
0,0,-7,0,4.4,28,0.09,0.43,0.34,0.67,127,1,0,6.9,12.0,2022-10-23,90,17,0,0,0,0,13,0,6433484,1,1,1,53.0,2,10073,184807,174734,80,False,0,0,4,0.8182100057601929,90,Southampton,Arsenal,1,1,18328,2022,558864,0.0,0,0,0,0.8182100057601929,0.9467269778251648,0.1285170018672943,4,2,13,4.7,FWD,0.33,9.3,0.04,0.17,0.14,0.8,0.33,0.0,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.33,1.33,0.0,0.0,1.67,0.4,0.04,0.0,0.67,0.0,0.4,0.48,0.06,3.47
2,1,31,1,45.5,28,0.58,1.25,0.67,0.43,131,0,0,20.4,51.6,2022-10-30,90,16,0,0,0,0,14,0,6337194,1,0,5,107.0,9,-110733,148650,259383,80,True,0,0,7,0.8299480080604553,90,Arsenal,Nottingham Forest,5,0,18332,2022,560755,1.137660026550293,2,4,0,0.8299480080604553,2.033890008926392,0.744621992111206,2,4,14,6.2,FWD,0.33,16.63,0.22,0.56,0.34,0.37,0.33,0.0,21.2,60.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.0,3.67,0.0,0.0,3.67,0.55,0.38,0.67,1.33,0.0,0.55,0.99,0.29,3.63
0,0,2,1,23.8,28,0.04,0.59,0.55,0.29,142,0,0,9.1,16.4,2022-11-06,90,6,0,0,0,0,15,0,6420680,1,1,0,51.0,2,59645,243765,184120,80,False,0,0,3,0.4939610064029693,90,Chelsea,Arsenal,0,1,18343,2022,562368,0.1575089991092682,0,2,0,0.4939610064029693,0.6721950173377991,0.0207241997122764,4,4,15,3.8,FWD,0.67,24.57,0.24,0.76,0.52,0.46,0.33,0.0,26.67,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.0,4.33,0.0,0.0,4.67,0.71,0.43,0.67,2.0,0.0,0.71,1.22,0.3,4.9
0,0,9,1,9.3,28,0.14,0.49,0.35,0.68,160,0,0,7.0,6.2,2022-11-12,90,20,0,0,0,0,16,0,6357613,1,2,0,54.0,2,-71731,202097,273828,80,False,0,0,5,0.6119409799575806,90,Wolverhampton Wanderers,Arsenal,0,2,18361,2022,564802,0.0,0,0,0,0.6119409799575806,1.4623600244522097,0.8504149913787842,4,2,16,4.8,FWD,1.0,26.2,0.25,0.78,0.52,0.47,0.0,0.0,24.73,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.67,4.33,0.0,0.0,5.0,0.65,0.43,0.67,2.0,0.0,0.65,1.39,0.54,4.93
0,0,3,0,1.1,28,0.02,0.14,0.12,0.11,264,0,0,2.5,6.4,2023-03-12,13,9,0,0,0,0,27,0,2814464,0,3,0,17.0,1,-19715,3107,22822,79,False,0,0,1,0.378163993358612,11,Fulham,Arsenal,0,3,18465,2022,582044,0.0,0,0,0,0.378163993358612,0.378163993358612,0.0,4,2,27,0.3,FWD,0.0,0.37,0.01,0.05,0.04,0.04,0.0,0.0,2.13,4.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,0.33,0.13,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.1
0,0,0,0,1.8,28,0.01,0.21,0.2,0.34,271,0,0,0.8,0.0,2023-03-19,25,7,0,0,0,0,28,0,2852296,0,1,4,9.0,1,28263,38616,10353,79,True,0,0,1,0.0781806036829948,22,Arsenal,Crystal Palace,4,1,18472,2022,583827,0.0,0,0,0,0.0781806036829948,0.0,0.0,2,4,28,0.9,FWD,0.0,0.97,0.01,0.12,0.11,0.15,0.0,0.0,2.13,12.67,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,0.67,0.0,0.0,0.67,0.15,0.0,0.0,0.0,0.0,0.15,0.13,0.0,0.4
0,3,45,0,14.3,28,0.03,1.78,1.75,0.27,281,0,2,14.0,70.6,2023-04-01,59,11,0,0,0,0,29,0,2858114,1,1,4,55.0,12,10866,29851,18985,79,True,0,2,4,1.8446600437164309,64,Arsenal,Leeds,4,1,18482,2022,584769,0.0713486969470977,0,1,1,1.0835000276565552,1.1857199668884275,0.6137660145759583,2,4,29,5.2,FWD,0.0,5.73,0.02,0.71,0.69,0.24,0.0,0.67,25.67,32.33,0.0,0.0,0.0,0.0,0.0,0.33,1.67,2.67,4.67,0.0,0.67,2.0,0.77,0.02,0.0,0.33,0.33,0.51,0.52,0.2,2.13
0,1,27,0,7.2,28,0.01,0.96,0.95,2.15,296,1,1,6.8,37.0,2023-04-09,79,12,0,0,0,0,30,0,3028101,1,2,2,24.0,7,164000,176324,12324,80,False,0,1,2,0.9062399864196776,84,Liverpool,Arsenal,2,2,18497,2022,587628,0.0,0,0,1,0.9062399864196776,0.9644039869308472,0.0581634007394313,4,4,30,6.7,FWD,0.0,7.77,0.02,0.98,0.97,0.92,0.33,1.0,35.87,54.33,0.0,0.0,0.0,0.0,0.0,0.67,1.33,3.33,6.67,0.0,1.0,2.33,0.94,0.02,0.0,0.33,0.67,0.69,0.72,0.22,4.27
0,2,28,0,4.4,28,0.02,0.95,0.93,1.43,309,2,1,7.3,35.2,2023-04-16,66,19,0,0,0,0,31,0,3171370,1,2,2,33.0,7,139743,153899,14156,81,False,1,1,1,0.9114649891853333,71,West Ham,Arsenal,2,2,18510,2022,589154,0.0,0,0,1,0.9114649891853333,1.0001100301742554,0.0886500999331474,4,3,31,9.2,FWD,0.0,8.63,0.02,1.23,1.21,1.28,1.0,1.33,47.6,68.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.67,8.67,0.33,1.33,2.33,1.22,0.02,0.0,0.33,1.0,0.97,1.05,0.25,7.03
0,0,-6,0,20.5,28,0.09,1.45,1.36,1.42,311,3,0,9.1,6.6,2023-04-21,90,17,0,0,0,0,32,0,3747685,1,3,3,64.0,2,283466,295624,12158,82,True,0,0,6,0.8728352189064026,90,Arsenal,Southampton,3,3,18512,2022,589773,0.056328896433115,0,1,0,0.8728352189064026,0.904492199420929,0.0222882479429245,2,4,32,8.0,FWD,0.0,10.7,0.04,1.12,1.08,1.67,2.0,0.67,26.27,78.33,0.0,0.0,0.0,0.0,0.0,1.0,2.33,2.33,5.33,0.33,0.67,3.0,0.9,0.02,0.0,0.33,0.67,0.9,0.96,0.06,7.97
0,0,4,0,2.1,28,0.0,0.0,0.0,1.89,329,3,0,0.8,1.6,2023-04-26,80,13,0,0,0,0,33,0,3280369,1,1,4,4.0,2,-173341,15949,189290,82,False,0,0,0,0.0,86,Manchester City,Arsenal,4,1,18531,2022,591700,0.0,0,0,0,0.0,0.0,0.0,4,5,33,5.5,FWD,0.0,9.0,0.04,0.8,0.76,1.58,2.67,0.33,14.47,78.67,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.67,0.33,0.33,2.33,0.59,0.02,0.0,0.33,0.33,0.59,0.63,0.04,7.57
0,1,28,0,26.8,28,0.45,0.8,0.35,0.74,331,1,1,12.3,36.8,2023-05-02,90,6,0,0,0,0,34,0,3174965,1,1,3,59.0,7,-96389,19551,115940,81,True,0,1,3,0.9182888865470886,90,Arsenal,Chelsea,3,1,18532,2022,593725,0.2086135745048523,0,2,1,0.9182888865470886,1.2061527967453003,0.6063870191574097,3,4,34,5.5,FWD,0.0,16.47,0.18,0.75,0.57,1.35,2.33,0.33,15.0,86.67,0.0,0.0,0.0,0.0,0.0,1.0,1.67,3.33,3.67,0.0,0.33,3.0,0.6,0.09,0.0,1.0,0.33,0.6,0.7,0.21,6.33
0,0,1,1,13.1,28,0.06,0.14,0.08,1.24,346,0,0,4.6,5.2,2023-05-07,86,15,0,0,0,0,35,0,3188179,1,2,0,28.0,2,-2087,44354,46441,81,False,0,0,2,0.1330589205026626,90,Newcastle United,Arsenal,0,2,18547,2022,595463,0.0900625139474868,0,1,0,0.1330589205026626,0.3603173792362213,0.2272584736347198,4,4,35,4.5,FWD,0.33,14.0,0.17,0.31,0.14,1.29,1.33,0.33,14.53,85.33,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,3.67,0.0,0.33,1.67,0.35,0.1,0.0,1.0,0.33,0.35,0.52,0.28,5.17
0,0,5,0,21.3,28,0.05,0.11,0.06,1.08,351,1,0,5.7,10.6,2023-05-14,76,5,0,0,0,0,36,0,3163606,1,3,0,25.0,2,-25961,28222,54183,81,True,0,0,2,0.0814701318740844,82,Arsenal,Brighton,0,3,18552,2022,597293,0.0603901334106922,0,2,0,0.0814701318740844,0.1418602615594864,0.0,3,4,36,0.0,FWD,0.33,20.4,0.19,0.35,0.16,1.02,0.67,0.33,17.53,84.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.67,0.0,0.33,2.33,0.38,0.12,0.0,1.67,0.33,0.38,0.57,0.28,3.33
0,0,-5,0,13.6,28,0.06,0.36,0.3,0.55,367,1,0,10.0,6.2,2023-05-20,90,16,0,0,0,0,37,0,3175332,1,0,1,80.0,1,10040,56081,46041,81,False,1,0,4,0.2317339777946472,90,Nottingham Forest,Arsenal,1,0,18568,2022,598350,0.0497947745025157,0,1,0,0.2317339777946472,0.2564974427223205,0.0,4,2,37,3.5,FWD,0.33,16.0,0.06,0.2,0.15,0.96,0.67,0.0,7.33,84.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,0.33,1.67,0.33,0.0,2.67,0.15,0.07,0.0,1.33,0.0,0.15,0.25,0.08,2.67
