assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,creativity_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,influence_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,yellow_cards_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3
0,0,13,0,0.0,401,0.0,0.0,0.0,1.0,330,1,0,1.1,11.2,2023-04-27,90,3,0,0,0,0,33,1,16465,1,1,0,0.0,2,-52,77,129,43,True,0,0,0,0,90,Southampton,Bournemouth,0,1,18530,2022,591860,0.0,0,0,0,0,0.0519280694425106,0.0519280694425106,2,2,33,0.4,GK,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,3.73,30.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.13
0,0,16,0,0.0,401,0.0,0.0,0.0,4.47,340,3,0,2.4,23.6,2023-04-30,90,15,0,0,0,0,34,3,16641,1,1,3,0.0,2,110,242,132,43,False,0,0,0,0,90,Newcastle United,Southampton,3,1,18541,2022,592898,0.0,0,0,0,0,0.0,0.0,2,4,34,-0.2,GK,0.0,0.0,0.0,0.0,0.0,1.82,1.33,0.0,11.6,60.0,0.0,0.0,0.0,0.0,1.33,0.67,0.67,1.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.07
0,0,8,0,0.0,401,0.0,0.0,0.0,1.81,347,4,0,0.5,4.6,2023-05-08,90,16,0,0,0,0,35,0,16845,1,3,4,0.0,0,189,354,165,43,False,0,0,0,0,90,Nottingham Forest,Southampton,4,3,18548,2022,595857,0.0,0,0,0,0,0.0252547487616539,0.0252547487616539,2,2,35,0.3,GK,0.0,0.0,0.0,0.0,0.0,2.43,2.67,0.0,13.13,90.0,0.0,0.0,0.0,0.0,1.33,1.0,1.67,2.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.17
0,0,9,0,0.0,401,0.0,0.0,0.0,1.49,360,2,0,0.6,6.4,2023-05-13,90,9,0,0,0,0,36,1,16885,1,2,0,0.0,1,8,190,182,43,True,0,0,0,0,90,Southampton,Fulham,0,2,18561,2022,596453,0.0,0,0,0,0,0.0,0.0,2,2,36,0.0,GK,0.0,0.0,0.0,0.0,0.0,2.59,3.0,0.0,11.53,90.0,0.0,0.0,0.0,0.0,1.33,1.0,2.0,2.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03
0,0,18,0,0.0,401,0.0,0.0,0.0,2.54,362,3,0,3.8,38.4,2023-05-21,90,5,0,0,0,0,37,5,17025,1,1,3,0.0,2,97,257,160,43,False,0,0,0,0,90,Brighton,Southampton,3,1,18563,2022,598801,0.0,0,0,0,0,0.0,0.0,2,3,37,0.7,GK,0.0,0.0,0.0,0.0,0.0,1.95,3.0,0.0,16.47,90.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.33
