assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,0,0,1.3,492,0.17,0.17,0.0,0.12,10,0,0,2.6,2.4,2024-08-19,11,11,0,0,0,0,1,0,229933,0,1,1,22.0,1,0,0,0,65,False,0,0,0,0.0,10,Sub,Leicester,Tottenham,1,1,26611,2024,667468,0.0,0,0,0,0.0,0.0846512243151664,0.0846512243151664,4,2,1
1,0,21,1,48.8,492,0.11,0.11,0.0,1.0,19,0,0,8.2,25.6,2024-08-24,66,8,0,0,0,0,2,0,207712,1,0,4,8.0,6,-36119,11585,47704,65,True,0,0,0,0.0,70,MC,Tottenham,Everton,4,0,26617,2024,667981,0.2249469310045242,1,4,0,0.0,0.2678433358669281,0.2678433358669281,2,4,2
0,0,8,0,43.3,492,0.11,0.19,0.08,1.57,28,2,0,8.1,12.8,2024-09-01,90,15,0,0,0,0,3,0,195104,1,1,2,25.0,2,-18511,23458,41969,64,False,0,0,2,0.1214165464043617,90,FW,Newcastle United,Tottenham,2,1,26629,2024,672479,0.091978870332241,0,3,0,0.1214165464043617,0.3251131176948547,0.1845031529664993,4,4,3
0,0,2,0,12.6,492,0.11,0.27,0.16,0.73,39,1,0,5.4,10.6,2024-09-15,90,1,0,0,0,0,4,0,159878,1,1,0,31.0,1,-38264,9351,47615,64,True,1,0,3,0.1777278035879135,90,MC,Tottenham,Arsenal,0,1,26640,2024,674309,0.0732796639204025,0,1,0,0.1777278035879135,0.3767488300800323,0.1257413476705551,5,4,4
0,0,9,0,38.2,492,0.11,0.49,0.38,0.8,49,1,0,9.9,13.0,2024-09-21,90,4,0,0,0,0,5,0,160487,1,1,3,48.0,2,-2361,14940,17301,63,True,0,0,4,0.4354119896888733,90,MC,Tottenham,Brentford,3,1,26648,2024,675781,0.1341907083988189,0,3,0,0.4354119896888733,1.3626421689987185,0.8213521838188171,2,4,5
0,3,47,1,102.8,492,0.39,0.82,0.43,0.96,57,0,1,20.8,62.6,2024-09-29,90,14,0,0,0,0,6,0,136187,1,3,0,43.0,11,-24722,5930,30652,63,False,0,1,2,0.6789562702178955,90,MC,Manchester United,Tottenham,0,3,26660,2024,678663,1.4535706043243408,0,9,1,0.6789562702178955,2.2335426807403564,0.1852891594171524,4,3,6
0,0,3,0,15.5,492,0.19,0.24,0.05,1.82,64,3,0,4.2,9.8,2024-10-06,90,5,0,0,0,0,7,0,189970,1,2,3,17.0,1,47705,60994,13289,62,False,1,0,1,0.074064590036869,90,MC,Brighton,Tottenham,3,2,26671,2024,680439,0.1360060721635818,0,1,0,0.074064590036869,0.2100706547498703,0.0,4,3,7
0,2,35,0,24.8,492,0.06,0.23,0.17,0.78,79,1,1,10.2,42.6,2024-10-19,90,19,0,0,0,0,8,0,209485,1,1,4,35.0,9,17773,36003,18230,62,True,0,1,4,0.2113254964351654,90,MC,Tottenham,West Ham,4,1,26672,2024,680946,0.1596034914255142,0,2,1,0.2113254964351654,0.5719603896141052,0.2010313868522644,2,4,8
0,0,1,0,12.7,492,0.02,0.12,0.1,0.75,86,1,0,5.0,2.0,2024-10-27,61,7,0,0,0,0,9,0,369191,1,0,1,35.0,1,150755,160838,10083,62,False,1,0,1,0.3533931374549866,68,MC,Crystal Palace,Tottenham,1,0,26689,2024,683498,0.0149456690996885,0,1,0,0.3533931374549866,0.6558861136436462,0.2875473201274872,4,2,9
1,0,18,0,36.4,492,0.37,0.37,0.0,1.86,99,1,0,7.7,34.4,2024-11-03,90,2,0,0,0,0,10,0,396489,1,1,4,6.0,5,30218,70016,39798,63,True,0,0,0,0.0,90,MC,Tottenham,Aston Villa,4,1,26700,2024,685520,0.4210495054721832,1,3,0,0.0,0.435567170381546,0.0145176472142338,3,4,10
0,0,12,0,40.0,492,0.34,0.34,0.0,1.74,108,2,0,6.0,12.2,2024-11-10,90,10,0,0,0,0,11,0,467160,1,2,1,8.0,2,65952,88659,22707,63,True,0,0,0,0.0,90,MC,Tottenham,Ipswich,1,2,26709,2024,687288,0.087805338203907,0,3,0,0.0,0.0476248227059841,0.0,2,4,11
