assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,3,0,5.8,509,0.02,0.02,0.0,0.12,10,0,0,1.2,2.2,2024-08-19,12,11,0,0,0,0,1,0,25680,0,1,1,4.0,1,0,0,0,65,False,0,0,0,0.0,11,Sub,Leicester,Tottenham,1,1,26611,2024,667467,0.0,0,0,0,0.0,0.0846512243151664,0.0846512243151664,4,2,1
0,0,5,0,1.7,509,0.01,0.01,0.0,0.94,28,1,0,1.4,8.2,2024-09-01,16,15,0,0,0,0,3,0,20154,0,1,2,4.0,1,-6979,757,7736,64,False,0,0,0,0.0,11,Sub,Newcastle United,Tottenham,2,1,26629,2024,672481,0.0,0,0,0,0.0,0.0,0.0,4,4,3
0,0,5,0,0.8,509,0.01,0.01,0.0,0.0,39,0,0,0.3,2.2,2024-09-15,10,1,0,0,0,0,4,0,18349,0,1,0,0.0,1,-2991,675,3666,63,True,0,0,0,0.0,7,Sub,Tottenham,Arsenal,0,1,26640,2024,674316,0.0,0,0,0,0.0,0.0184424985200166,0.0184424985200166,5,4,4
0,0,6,1,21.2,509,0.03,0.64,0.61,0.77,57,0,0,6.9,11.8,2024-09-29,76,14,0,0,0,0,6,0,16434,1,3,0,36.0,3,-1315,361,1676,62,False,0,0,2,0.6272187829017639,82,FWL,Manchester United,Tottenham,0,3,26660,2024,678668,0.0792503207921981,0,1,0,0.6272187829017639,1.144431471824646,0.5172126889228821,4,3,6
1,0,17,0,13.8,509,0.12,0.23,0.11,1.8,64,3,0,4.8,17.4,2024-10-06,78,5,0,0,0,0,7,0,17199,1,2,3,17.0,5,163,1237,1074,62,False,0,0,2,0.1105309575796127,81,FWL,Brighton,Tottenham,3,2,26671,2024,680444,0.0913453474640846,1,1,0,0.1105309575796127,0.2018762975931167,0.0,4,3,7
0,0,4,0,0.3,509,0.0,0.04,0.04,0.07,79,0,0,2.0,3.0,2024-10-19,20,19,0,0,0,0,8,0,19083,0,1,4,17.0,1,1089,2181,1092,62,True,0,0,1,0.0276412181556224,19,Sub,Tottenham,West Ham,4,1,26672,2024,680952,0.0,0,0,0,0.0276412181556224,0.0276412181556224,0.0,2,4,8
0,0,1,0,1.6,509,0.02,0.02,0.0,0.08,86,0,0,0.5,1.0,2024-10-27,28,7,0,0,0,0,9,0,18693,0,0,1,2.0,1,-596,622,1218,62,False,0,0,0,0.0,22,Sub,Crystal Palace,Tottenham,1,0,26689,2024,683504,0.0,0,0,0,0.0,0.0,0.0,4,2,9
0,0,0,0,2.0,509,0.01,0.27,0.26,0.02,108,0,0,0.8,0.0,2024-11-10,24,10,0,0,0,0,11,0,17661,0,2,1,11.0,1,-1377,515,1892,62,True,0,0,2,0.1398326456546783,20,Sub,Tottenham,Ipswich,1,2,26709,2024,687293,0.0,0,0,0,0.1398326456546783,0.1398326456546783,0.0,2,4,11
