assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
1,0,15,0,24.6,386,0.14,0.14,0.0,0.48,32,0,0,5.3,22.4,2024-09-14,45,3,0,0,0,0,4,0,33467,0,1,0,6.0,3,6221,11622,5401,63,False,1,0,0,0.0,43,Bournemouth,Chelsea,0,1,26639,2024,674175,0.5189995765686035,1,2,0,0.0,0.5189995765686035,0.0,4,3,4,1.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,15,0,30.0,386,0.21,0.21,0.0,0.5,50,0,0,5.5,18.8,2024-09-21,56,19,0,0,0,0,5,0,84250,1,3,0,6.0,4,45673,50927,5254,63,False,0,0,0,0.0,59,West Ham,Chelsea,0,3,26642,2024,675300,0.3482705950736999,1,2,0,0.0,0.7342430949211121,0.4721298217773437,4,2,5,2.3,MID,0.0,0.14,0.14,0.0,0.48,0.0,0.0,5.3,22.4,24.6,6.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.52,1.0,2.0,0.0,0.0,0.52,0.0,1.0,33467.0,0.0,0.14,0.14,0.0,0.48,0.0,0.0,5.3,22.4,24.6,6.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.52,1.0,2.0,0.0,0.0,0.52,0.0,1.0,33467.0
2,1,31,0,15.5,386,0.22,0.3,0.08,0.88,54,2,0,4.7,22.8,2024-09-28,70,5,0,0,0,0,6,0,152252,1,2,4,9.0,9,63823,81203,17380,63,True,0,0,1,0.1047850474715232,79,Chelsea,Brighton,4,2,26657,2024,677901,0.1375078707933426,1,1,0,0.1047850474715232,0.8381798267364502,0.5958869457244873,2,4,6,4.0,MID,0.0,0.35,0.35,0.0,0.98,0.0,0.0,10.8,41.2,54.6,12.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.87,2.0,4.0,0.0,0.0,1.25,0.47,3.3,117717.0,0.0,0.35,0.35,0.0,0.98,0.0,0.0,10.8,41.2,54.6,12.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.87,2.0,4.0,0.0,0.0,1.25,0.47,3.3,117717.0
0,0,18,0,42.5,386,0.26,0.26,0.0,0.59,65,1,0,6.4,11.8,2024-10-06,89,16,0,0,0,0,7,0,291466,1,1,1,10.0,2,127667,144886,17219,64,True,0,0,0,0.0,90,Chelsea,Nottingham Forest,1,1,26668,2024,680144,0.1996683031320572,0,3,0,0.0,0.2741763889789581,0.0745080783963203,3,4,7,4.5,MID,0.0,0.57,0.65,0.08,1.86,2.0,0.0,15.5,64.0,70.1,21.0,171.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,16.0,0.0,1.0,0.1,1.0,3.0,5.0,0.0,0.1,2.09,1.07,7.3,269969.0,0.0,0.57,0.65,0.08,1.86,2.0,0.0,15.5,64.0,70.1,21.0,171.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,16.0,0.0,1.0,0.1,1.0,3.0,5.0,0.0,0.1,2.09,1.07,7.3,269969.0
0,0,0,0,3.9,386,0.03,0.03,0.0,1.15,74,1,0,1.4,0.0,2024-10-20,45,12,0,0,0,0,8,0,264631,1,1,2,10.0,1,-25481,22801,48282,64,False,0,0,0,0.0,54,Liverpool,Chelsea,2,1,26679,2024,682207,0.0,0,0,0,0.0,0.0,0.0,4,5,8,3.5,MID,0.0,0.69,0.77,0.08,1.97,3.0,0.0,16.6,53.4,88.0,25.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,15.0,0.0,1.0,0.1,0.69,2.0,6.0,0.0,0.1,1.85,1.14,10.8,527968.0,0.0,0.83,0.91,0.08,2.45,3.0,0.0,21.9,75.8,112.6,31.0,260.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,5.0,18.0,0.0,1.0,0.1,1.2,3.0,8.0,0.0,0.1,2.37,1.14,11.8,561435.0
